backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
bge-base,arguana,identity,0.455859,0.000000,0.000000,0.000000,1.000000,0,3072,26646528,0.0,0.0,0.000545,0.000545
bge-base,arguana,float16,0.456144,0.000285,-0.000486,0.001118,0.519296,0,1536,13323264,0.0,0.0,0.000542,0.000542
bge-base,arguana,truncate(keep_dim=32),0.197511,-0.258348,-0.271870,-0.244848,0.000200,1,128,1110272,0.0,0.0,0.000502,0.000502
bge-base,arguana,truncate(keep_dim=64),0.309780,-0.146079,-0.158205,-0.133244,0.000200,1,256,2220544,0.0,0.0,0.000503,0.000503
bge-base,arguana,truncate(keep_dim=128),0.392476,-0.063383,-0.072464,-0.054612,0.000200,1,512,4441088,0.0,0.0,0.000517,0.000517
bge-base,arguana,truncate(keep_dim=256),0.430115,-0.025744,-0.032126,-0.019541,0.000200,1,1024,8882176,0.0,0.0,0.000585,0.000585
bge-base,arguana,truncate(keep_dim=512),0.445298,-0.010560,-0.014760,-0.006467,0.000200,1,2048,17764352,0.0,0.0,0.000666,0.000666
bge-base,arguana,scalar_int8,0.455695,-0.000164,-0.000623,0.000277,0.489102,0,768,6661632,0.0,0.0,0.000815,0.000815
bge-base,arguana,binary,0.411416,-0.044442,-0.052009,-0.036959,0.000200,1,96,832704,0.0,0.0,0.000690,0.000690
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=4)",0.072207,-0.383652,-0.397461,-0.369172,0.000200,1,2,17348,0.0,0.0,0.017109,0.017109
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=6)",0.159028,-0.296831,-0.312702,-0.280357,0.000200,1,3,26022,0.0,0.0,0.017015,0.017015
bge-base,arguana,"product_quantize(n_subspaces=4,n_bits=8)",0.261033,-0.194826,-0.210720,-0.178723,0.000200,1,4,34696,0.0,0.0,0.019005,0.019005
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=4)",0.103389,-0.352470,-0.366661,-0.338375,0.000200,1,4,34696,0.0,0.0,0.032439,0.032439
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=6)",0.207687,-0.248171,-0.263578,-0.232038,0.000200,1,6,52044,0.0,0.0,0.031622,0.031622
bge-base,arguana,"product_quantize(n_subspaces=8,n_bits=8)",0.289234,-0.166625,-0.181933,-0.151047,0.000200,1,8,69392,0.0,0.0,0.034848,0.034848
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=4)",0.156674,-0.299185,-0.314349,-0.284273,0.000200,1,8,69392,0.0,0.0,0.063549,0.063549
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=6)",0.263716,-0.192143,-0.207196,-0.177726,0.000200,1,12,104088,0.0,0.0,0.062565,0.062565
bge-base,arguana,"product_quantize(n_subspaces=16,n_bits=8)",0.342840,-0.113019,-0.126414,-0.099366,0.000200,1,16,138784,0.0,0.0,0.065769,0.065769
bge-base,arguana,"product_quantize(n_subspaces=32,n_bits=4)",0.272706,-0.183153,-0.196495,-0.170190,0.000200,1,16,138784,0.0,0.0,0.125907,0.125907
bge-base,arguana,"product_quantize(n_subspaces=32,n_bits=6)",0.338349,-0.117510,-0.128632,-0.106200,0.000200,1,24,208176,0.0,0.0,0.123539,0.123539
bge-base,arguana,"product_quantize(n_subspaces=32,n_bits=8)",0.391737,-0.064121,-0.073916,-0.054154,0.000200,1,32,277568,0.0,0.0,0.126152,0.126152
bge-base,arguana,"product_quantize(n_subspaces=64,n_bits=4)",0.360598,-0.095261,-0.105535,-0.085154,0.000200,1,32,277568,0.0,0.0,0.246023,0.246023
bge-base,arguana,"product_quantize(n_subspaces=64,n_bits=6)",0.395845,-0.060013,-0.068422,-0.051753,0.000200,1,48,416352,0.0,0.0,0.245545,0.245545
bge-base,arguana,"product_quantize(n_subspaces=64,n_bits=8)",0.420307,-0.035551,-0.042345,-0.028508,0.000200,1,64,555136,0.0,0.0,0.248426,0.248426
bge-base,arguana,"opq(n_subspaces=4,n_bits=4)",0.148727,-0.307132,-0.322177,-0.292005,0.000200,1,2,17348,0.0,0.0,0.363457,0.363457
bge-base,arguana,"opq(n_subspaces=4,n_bits=8)",0.319921,-0.135938,-0.152317,-0.120146,0.000200,1,4,34696,0.0,0.0,0.271340,0.271340
bge-base,arguana,"opq(n_subspaces=8,n_bits=4)",0.248587,-0.207272,-0.222317,-0.191454,0.000200,1,4,34696,0.0,0.0,0.486531,0.486531
bge-base,arguana,"opq(n_subspaces=8,n_bits=8)",0.359909,-0.095949,-0.109524,-0.081738,0.000200,1,8,69392,0.0,0.0,0.359350,0.359350
bge-base,arguana,"opq(n_subspaces=16,n_bits=4)",0.311302,-0.144557,-0.157455,-0.131908,0.000200,1,8,69392,0.0,0.0,0.661256,0.661256
bge-base,arguana,"opq(n_subspaces=16,n_bits=8)",0.380821,-0.075037,-0.085390,-0.064422,0.000200,1,16,138784,0.0,0.0,0.535054,0.535054
bge-base,arguana,"opq(n_subspaces=32,n_bits=4)",0.366503,-0.089356,-0.098900,-0.079256,0.000200,1,16,138784,0.0,0.0,0.992185,0.992185
bge-base,arguana,"opq(n_subspaces=32,n_bits=8)",0.417102,-0.038757,-0.046141,-0.031341,0.000200,1,32,277568,0.0,0.0,0.889949,0.889949
bge-base,arguana,"opq(n_subspaces=64,n_bits=4)",0.406432,-0.049427,-0.057518,-0.041554,0.000200,1,32,277568,0.0,0.0,1.614629,1.614629
bge-base,arguana,"opq(n_subspaces=64,n_bits=8)",0.435691,-0.020168,-0.025648,-0.014514,0.000200,1,64,555136,0.0,0.0,1.605539,1.605539
