spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.073042,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.069866,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.068612,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.082596,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.070241,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.158431,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.164402,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.151609,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.159010,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.161799,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.261033,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.277669,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.253872,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.270466,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.268458,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.103389,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.115028,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.106097,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.113490,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.118206,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.206722,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.217355,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.206803,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.200267,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.207913,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.289702,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.290022,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.298736,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.297107,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.309881,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.155363,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.171216,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.162180,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.171733,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.179495,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.264027,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",1,0.257692,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",2,0.273060,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",3,0.268996,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",4,0.271280,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",0,0.342840,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",1,0.335655,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",2,0.342754,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",3,0.331547,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",4,0.341948,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",0,0.273786,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",1,0.277406,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",2,0.276145,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",3,0.277897,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",4,0.280196,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",0,0.339240,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",1,0.347567,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",2,0.344113,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",3,0.339049,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",4,0.349023,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",0,0.392057,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",1,0.390465,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",2,0.386456,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",3,0.384311,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",4,0.377628,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",0,0.360851,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",1,0.356493,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",2,0.353745,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",3,0.356344,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",4,0.354069,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",0,0.395392,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",1,0.399704,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",2,0.402024,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",3,0.402478,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",4,0.394856,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",0,0.420307,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",1,0.422485,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",2,0.423112,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",3,0.417570,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",4,0.417413,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",0,0.142334,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",1,0.150802,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",2,0.171565,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",3,0.152570,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",4,0.163566,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",0,0.316954,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",1,0.321401,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",2,0.323532,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",3,0.323882,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",4,0.306654,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",0,0.246568,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",1,0.251039,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",2,0.254449,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",3,0.245864,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",4,0.243222,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=8)",0,0.366464,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=8)",1,0.367449,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=8)",2,0.355927,0.0,0.0,0.0
