spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.072872,0.005672,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.159050,0.004794,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.266300,0.009130,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.111242,0.006246,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.207812,0.006128,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.297089,0.008229,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.167997,0.009354,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.267011,0.006215,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.338949,0.005105,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.277086,0.002356,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.343799,0.004608,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.386184,0.005692,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.356300,0.002840,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.398891,0.003601,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.420177,0.002664,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.156167,0.011455,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.318484,0.007166,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.248228,0.004472,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.364740,0.006627,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.314924,0.003792,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.384965,0.001563,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.367345,0.004402,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.414798,0.000985,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.407367,0.004235,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.434121,0.002368,0,0,0,0,0,0
