backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
bge-base,fiqa,identity,0.406239,0.000000,0.000000,0.000000,1.000000,0,3072,177063936,0.0,0.0,0.003112,0.003112
bge-base,fiqa,float16,0.406472,0.000234,-0.000088,0.000811,0.871826,0,1536,88531968,0.0,0.0,0.003532,0.003532
bge-base,fiqa,truncate(keep_dim=32),0.081880,-0.324358,-0.349782,-0.298658,0.000200,1,128,7377664,0.0,0.0,0.001574,0.001574
bge-base,fiqa,truncate(keep_dim=64),0.197738,-0.208500,-0.230817,-0.186804,0.000200,1,256,14755328,0.0,0.0,0.001623,0.001623
bge-base,fiqa,truncate(keep_dim=128),0.291356,-0.114883,-0.132923,-0.097610,0.000200,1,512,29510656,0.0,0.0,0.001754,0.001754
bge-base,fiqa,truncate(keep_dim=256),0.357986,-0.048252,-0.061781,-0.034703,0.000200,1,1024,59021312,0.0,0.0,0.002094,0.002094
bge-base,fiqa,truncate(keep_dim=512),0.397484,-0.008755,-0.016179,-0.001071,0.018596,1,2048,118042624,0.0,0.0,0.002878,0.002878
bge-base,fiqa,scalar_int8,0.405910,-0.000329,-0.001912,0.000874,0.711458,0,768,44265984,0.0,0.0,0.006290,0.006290
bge-base,fiqa,binary,0.317726,-0.088513,-0.103605,-0.073647,0.000200,1,96,5533248,0.0,0.0,0.003395,0.003395
bge-base,fiqa,"product_quantize(n_subspaces=4,n_bits=4)",0.005096,-0.401143,-0.428440,-0.373019,0.000200,1,2,115276,0.0,0.0,0.078423,0.078423
bge-base,fiqa,"product_quantize(n_subspaces=4,n_bits=6)",0.016539,-0.389700,-0.417630,-0.361849,0.000200,1,3,172914,0.0,0.0,0.078491,0.078491
bge-base,fiqa,"product_quantize(n_subspaces=4,n_bits=8)",0.055664,-0.350575,-0.377824,-0.322820,0.000200,1,4,230552,0.0,0.0,0.094981,0.094981
bge-base,fiqa,"product_quantize(n_subspaces=8,n_bits=4)",0.010717,-0.395522,-0.422542,-0.368293,0.000200,1,4,230552,0.0,0.0,0.114424,0.114424
bge-base,fiqa,"product_quantize(n_subspaces=8,n_bits=6)",0.036582,-0.369657,-0.397344,-0.342191,0.000200,1,6,345828,0.0,0.0,0.118739,0.118739
