spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.006403,0.000820,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.019824,0.003912,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.046459,0.008104,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.012811,0.002971,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.034539,0.003433,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.075418,0.006226,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.030854,0.003071,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.060536,0.004951,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.109857,0.003931,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.095739,0.004473,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.163210,0.009137,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.224968,0.005065,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.225233,0.007314,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.289274,0.006393,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.331307,0.008628,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.021104,0.003810,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.101987,0.003148,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.061218,0.004231,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.146795,0.007757,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.122486,0.006019,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.225633,0.003883,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.219967,0.004216,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.312871,0.005234,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.312375,0.003411,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.369608,0.002071,0,0,0,0,0,0
