backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
bge-base,nfcorpus,identity,0.3751569227936836,0.0,0.0,0.0,1.0,False,3072,11160576,0.0,0.004,0.01064,0.011228
bge-base,nfcorpus,truncate(keep_dim=32),0.13508580795911382,-0.2400711148345698,-0.26805699472987854,-0.21086328280798933,0.0001999600079984003,True,128,465024,0.0,0.31378,0.01694,0.017512999999999997
bge-base,nfcorpus,truncate(keep_dim=64),0.23129504004510773,-0.14386188274857592,-0.16728460330091943,-0.12153805081942595,0.0001999600079984003,True,256,930048,0.0,0.28363,0.01753,0.018118
bge-base,nfcorpus,truncate(keep_dim=128),0.2961881519841677,-0.07896877080951592,-0.09662461605018406,-0.062197441575579056,0.0001999600079984003,True,512,1860096,0.0,0.5263,2.99965,5.9979535
bge-base,nfcorpus,truncate(keep_dim=256),0.3467068001374853,-0.02845012265619842,-0.04026320832563749,-0.017190427189102225,0.0001999600079984003,True,1024,3720192,0.0,1.18765,0.0154,0.019873000000000002
bge-base,nfcorpus,truncate(keep_dim=512),0.36858450282194216,-0.006572419971741453,-0.013213060582417871,-0.0001988197811789234,0.04439112177564487,True,2048,7440384,0.0,2.87081,0.017505,0.017891
bge-base,nfcorpus,scalar_int8,0.3755122255908215,0.00035530279713783826,-9.889614576446323e-05,0.0011273414874609685,0.45710857828434315,False,768,2790144,1.55583,6.49297,4.1963,4.2516774999999996
bge-base,nfcorpus,binary,0.33111969781071976,-0.0440372249829639,-0.05706564214298564,-0.03204153487752454,0.0001999600079984003,True,96,348768,0.0,0.66187,0.6403749999999999,0.6424394999999999
bge-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=4)",0.07221353373730603,-0.30294338905637763,-0.3389406599781586,-0.26809452218882623,0.0001999600079984003,True,4,14532,891.113833,31.912119,0.036030000000000006,0.038388500000000006
bge-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=6)",0.16572476226051921,-0.2094321605331644,-0.24257711846434182,-0.17728459562684487,0.0001999600079984003,True,4,14532,3354.379084,125.355317,0.049065,0.051067
bge-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=8)",0.23926003911445715,-0.1358968836792265,-0.16404427332709967,-0.10874313096120727,0.0001999600079984003,True,4,14532,8476.917492,508.17825,0.10198499999999999,0.1087095
bge-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=4)",0.10761270619020467,-0.267544216603479,-0.3008128891657569,-0.23379461605679042,0.0001999600079984003,True,8,29064,789.930395,28.793749,0.06157,0.06306199999999999
bge-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=6)",0.19883415270907645,-0.17632277008460717,-0.2050683643262323,-0.14698549618421075,0.0001999600079984003,True,8,29064,3941.713442,151.773158,0.077565,0.0797325
bge-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=8)",0.28706737384109016,-0.08808954895259348,-0.11266846182006723,-0.06457995161400532,0.0001999600079984003,True,8,29064,11659.592189,597.909978,0.13996,0.14721700000000001
bge-base,nfcorpus,"product_quantize(n_subspaces=16,n_bits=4)",0.16114970339146395,-0.2140072194022197,-0.24442887996310367,-0.18431870983612603,0.0001999600079984003,True,16,58128,1038.23274,34.243989,0.11252000000000001,0.1167735
bge-base,nfcorpus,"product_quantize(n_subspaces=16,n_bits=6)",0.24670863259554524,-0.12844829019813842,-0.15389577950257377,-0.10316799291723519,0.0001999600079984003,True,16,58128,5043.2378,181.186637,0.13450499999999999,0.14135
bge-base,nfcorpus,"product_quantize(n_subspaces=16,n_bits=8)",0.3203734507855394,-0.0547834720081442,-0.07724215812010624,-0.033198151108254845,0.0001999600079984003,True,16,58128,14623.439101,707.434816,0.221105,0.229994
bge-base,nfcorpus,"product_quantize(n_subspaces=32,n_bits=4)",0.247711284241594,-0.12744563855208962,-0.15297571656609868,-0.10291040678395612,0.0001999600079984003,True,32,116256,1613.940808,52.347259,0.218715,0.2238075
bge-base,nfcorpus,"product_quantize(n_subspaces=32,n_bits=6)",0.31287818907943254,-0.062278733714251154,-0.08214018895386103,-0.04297919028386583,0.0001999600079984003,True,32,116256,5906.246353,197.302686,0.252135,0.2581805
bge-base,nfcorpus,"product_quantize(n_subspaces=32,n_bits=8)",0.3486675981095128,-0.026489324684170867,-0.04080730542877339,-0.012162900794530895,0.0007998400319936012,True,32,116256,19927.189006,952.484971,0.38510500000000003,0.39137
