spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.048409,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.055329,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.046086,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.053754,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.051593,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.144279,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.139994,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.133357,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.118715,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.141785,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.256484,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.241650,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.250400,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.248870,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.244008,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.082743,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.074518,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.085772,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.078787,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.079236,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.173457,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.168538,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.175839,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.169522,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.160797,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.285012,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.263821,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.257594,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.272046,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.267176,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.112237,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.113466,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.128470,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.121166,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.130298,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.211681,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",1,0.222675,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",2,0.214079,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",3,0.221100,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",4,0.215604,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",0,0.291869,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",1,0.298467,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",2,0.292117,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",3,0.302352,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",4,0.301978,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",0,0.206519,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",1,0.212961,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",2,0.205511,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",3,0.197264,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",4,0.213045,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",0,0.296224,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",1,0.285758,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",2,0.296087,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",3,0.290096,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",4,0.283924,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",0,0.333583,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",1,0.339235,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",2,0.340322,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",3,0.343308,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",4,0.334897,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",0,0.284940,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",1,0.287025,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",2,0.284672,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",3,0.281570,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",4,0.287868,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",0,0.329583,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",1,0.329555,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",2,0.336639,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",3,0.329930,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",4,0.323319,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",0,0.357525,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",1,0.360223,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",2,0.350748,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",3,0.350783,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",4,0.356413,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",0,0.124460,0.0,0.0,0.0
