spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.051034,0.003793,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.135626,0.010284,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.248282,0.005796,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.080211,0.004264,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.169630,0.005754,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.269130,0.010318,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.121128,0.008303,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.217028,0.004684,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.297357,0.005126,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.207060,0.006506,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.290418,0.005698,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.338269,0.003996,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.285215,0.002448,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.329805,0.004714,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.355139,0.004225,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.132485,0.006895,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.291359,0.004720,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.203631,0.007000,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.323908,0.006006,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.265955,0.004380,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.342488,0.004418,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.318031,0.004371,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.362158,0.003855,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.344112,0.002210,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.367023,0.000468,0,0,0,0,0,0
