backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
bge-base,scifact,identity,0.741622,0.000000,0.000000,0.000000,1.000000,0,3072,15922176,0.0,0.0,0.000756,0.000756
bge-base,scifact,float16,0.740160,-0.001461,-0.004153,0.000000,0.500700,0,1536,7961088,0.0,0.0,0.000793,0.000793
bge-base,scifact,truncate(keep_dim=32),0.326863,-0.414758,-0.456538,-0.371629,0.000200,1,128,663424,0.0,0.0,0.000996,0.000996
bge-base,scifact,truncate(keep_dim=64),0.543943,-0.197679,-0.235690,-0.160687,0.000200,1,256,1326848,0.0,0.0,0.000815,0.000815
bge-base,scifact,truncate(keep_dim=128),0.654202,-0.087419,-0.116295,-0.060193,0.000200,1,512,2653696,0.0,0.0,0.000772,0.000772
bge-base,scifact,truncate(keep_dim=256),0.694705,-0.046917,-0.068862,-0.026131,0.000200,1,1024,5307392,0.0,0.0,0.000770,0.000770
bge-base,scifact,truncate(keep_dim=512),0.732885,-0.008737,-0.023300,0.004783,0.221556,0,2048,10614784,0.0,0.0,0.000877,0.000877
bge-base,scifact,scalar_int8,0.742584,0.000963,-0.000803,0.003691,1.000000,0,768,3980544,0.0,0.0,0.001308,0.001308
bge-base,scifact,binary,0.674580,-0.067041,-0.091759,-0.042804,0.000200,1,96,497568,0.0,0.0,0.000832,0.000832
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=4)",0.052236,-0.689386,-0.730564,-0.646324,0.000200,1,2,10366,0.0,0.0,0.074038,0.074038
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=6)",0.174699,-0.566923,-0.614068,-0.518636,0.000200,1,3,15549,0.0,0.0,0.073370,0.073370
bge-base,scifact,"product_quantize(n_subspaces=4,n_bits=8)",0.325031,-0.416591,-0.462286,-0.368999,0.000200,1,4,20732,0.0,0.0,0.076331,0.076331
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=4)",0.114839,-0.626783,-0.668118,-0.581830,0.000200,1,4,20732,0.0,0.0,0.142395,0.142395
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=6)",0.254572,-0.487050,-0.530809,-0.441352,0.000200,1,6,31098,0.0,0.0,0.142887,0.142887
bge-base,scifact,"product_quantize(n_subspaces=8,n_bits=8)",0.426815,-0.314806,-0.361353,-0.267169,0.000200,1,8,41464,0.0,0.0,0.142115,0.142115
bge-base,scifact,"product_quantize(n_subspaces=16,n_bits=4)",0.231710,-0.509912,-0.553050,-0.463346,0.000200,1,8,41464,0.0,0.0,0.280962,0.280962
