spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.052236,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.055631,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.057582,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.069964,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.065048,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.166623,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.154987,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.169681,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.182255,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.147255,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.325031,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.324942,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.322563,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.309983,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.309165,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.114851,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.122513,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.142208,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.124060,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.130568,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.254572,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.260744,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.265037,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.247144,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.257525,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.426815,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.418943,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.421312,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.410137,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.435517,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.232605,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.248293,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.251672,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.237953,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.238929,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.411260,0.0,0.0,0.0
