spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.060092,0.007245,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.164160,0.013545,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.318337,0.008066,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.126840,0.010250,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.257005,0.006744,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.422545,0.009420,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.241890,0.007860,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.407126,0.007900,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.542107,0.013216,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.445422,0.013040,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.578349,0.010145,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.644619,0.013403,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.614782,0.010016,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.668723,0.005945,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.694314,0.007812,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.163438,0.008111,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.452640,0.017415,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.349179,0.016298,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.555404,0.024677,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.487286,0.016940,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.635967,0.011950,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.618709,0.009506,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.688360,0.004355,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.682814,0.010845,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.722582,0.007449,0,0,0,0,0,0
