backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
e5-base,arguana,identity,0.3305156053685032,0.0,0.0,0.0,1.0,False,3072,26646528,0.0,0.00316,2.99965,3.0007685
e5-base,arguana,truncate(keep_dim=32),0.05586756090059007,-0.27464804446791313,-0.287929433042804,-0.2608648170657218,0.0001999600079984003,True,128,1110272,0.0,0.57038,0.02925,0.030310500000000004
e5-base,arguana,truncate(keep_dim=64),0.13316422170785833,-0.1973513836606449,-0.2105457008861797,-0.18410063499804666,0.0001999600079984003,True,256,2220544,0.0,0.71699,2.9998500000000003,3.0008115
e5-base,arguana,truncate(keep_dim=128),0.2293466443659379,-0.10116896100256532,-0.11220747419150613,-0.08994683738916998,0.0001999600079984003,True,512,4441088,0.0,1.38456,0.01716,0.01806
e5-base,arguana,truncate(keep_dim=256),0.31527855145855616,-0.015237053909947075,-0.024198474117438792,-0.006140624925226459,0.0007998400319936012,True,1024,8882176,0.0,6.64328,3.000215,5.9999785
e5-base,arguana,truncate(keep_dim=512),0.3158097044863384,-0.014705900882164804,-0.020499322292640728,-0.009049575895862262,0.0001999600079984003,True,2048,17764352,0.0,8.0138,0.02527,0.026704000000000006
e5-base,arguana,scalar_int8,0.3306457099537691,0.00013010458526583306,-0.0005096083838566943,0.0007398217522669494,0.6704659068186363,False,768,6661632,3.9765,14.99544,14.7411305,16.826259050000004
e5-base,arguana,binary,0.1461771264119615,-0.1843384789565417,-0.19660359259067464,-0.17154883658412334,0.0001999600079984003,True,96,832704,0.0,1.76056,1.4950855,1.5227055000000003
e5-base,arguana,"product_quantize(n_subspaces=4,n_bits=4)",0.016267982013862203,-0.31424762335464096,-0.3277062039031055,-0.3009978866874649,0.0001999600079984003,True,4,34696,2120.47093,75.588641,0.058609999999999995,0.060633
e5-base,arguana,"product_quantize(n_subspaces=4,n_bits=6)",0.055079046315066986,-0.2754365590534362,-0.2901940047321069,-0.2598697940537006,0.0001999600079984003,True,4,34696,8004.610519,296.796466,0.07149,0.078061
e5-base,arguana,"product_quantize(n_subspaces=4,n_bits=8)",0.11575279933095166,-0.21476280603755155,-0.23049971468449099,-0.19856334497808012,0.0001999600079984003,True,4,34696,28480.807751,1215.888583,0.124895,0.133128
e5-base,arguana,"product_quantize(n_subspaces=8,n_bits=4)",0.01842618506717467,-0.3120894203013286,-0.32582665551997897,-0.2981088791845568,0.0001999600079984003,True,8,69392,2348.058294,83.925122,0.106595,0.11125
e5-base,arguana,"product_quantize(n_subspaces=8,n_bits=6)",0.07128158320739936,-0.25923402216110386,-0.27379139515770345,-0.2440871657003185,0.0001999600079984003,True,8,69392,9561.756808,355.686437,0.12310499999999999,0.1300355
e5-base,arguana,"product_quantize(n_subspaces=8,n_bits=8)",0.13684754556991122,-0.19366805979859197,-0.20918749228469347,-0.17800636000396966,0.0001999600079984003,True,8,69392,37007.630567,1416.3378,0.187035,0.1962565
e5-base,arguana,"product_quantize(n_subspaces=16,n_bits=4)",0.04260344830432589,-0.28791215706417733,-0.3016825345088507,-0.2737850126552495,0.0001999600079984003,True,16,138784,2843.87609,101.27956,0.205025,0.2200655
e5-base,arguana,"product_quantize(n_subspaces=16,n_bits=6)",0.11979547408619642,-0.2107201312823068,-0.2250328163061188,-0.19624509690450467,0.0001999600079984003,True,16,138784,11797.911599,429.2903,0.2273,0.2339345
e5-base,arguana,"product_quantize(n_subspaces=16,n_bits=8)",0.20980151666022054,-0.12071408870828264,-0.1351342174323359,-0.10635420751728127,0.0001999600079984003,True,16,138784,45927.830048,1695.726979,0.31525499999999995,0.327233
e5-base,arguana,"product_quantize(n_subspaces=32,n_bits=4)",0.09919911681461462,-0.23131648855388862,-0.24449701096829035,-0.21749590758322424,0.0001999600079984003,True,32,277568,3763.35249,128.0118,0.41227,0.41828000000000004
e5-base,arguana,"product_quantize(n_subspaces=32,n_bits=6)",0.19618820206018994,-0.13432740330831325,-0.14674188938418062,-0.12123706386204151,0.0001999600079984003,True,32,277568,16031.757069,558.73145,0.445485,0.453366
e5-base,arguana,"product_quantize(n_subspaces=32,n_bits=8)",0.26518917692515936,-0.06532642844334383,-0.07629817578746644,-0.05407731731373066,0.0001999600079984003,True,32,277568,64574.26513,2304.05921,0.5829899999999999,0.586341
e5-base,arguana,"product_quantize(n_subspaces=64,n_bits=4)",0.19942280252216063,-0.13109280284634253,-0.14298965686676351,-0.11922908351983265,0.0001999600079984003,True,64,555136,6673.022045,219.674705,0.87418,0.8768925
e5-base,arguana,"product_quantize(n_subspaces=64,n_bits=6)",0.27158492104328763,-0.05893068432521555,-0.06855869586499419,-0.04930965197361691,0.0001999600079984003,True,64,555136,25532.622194,845.833042,0.971255,0.9798775
e5-base,arguana,"product_quantize(n_subspaces=64,n_bits=8)",0.3033394875704634,-0.02717611779803983,-0.034939128692630175,-0.019458543408282167,0.0001999600079984003,True,64,555136,104994.286008,3665.509855,1.169905,1.1775879999999999
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=4))",0.02127651548393635,-0.3092390898845669,-0.3227214613631412,-0.295451978550528,0.0001999600079984003,True,4,34696,449.27123,14.90037,0.06043,0.06512300000000001
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=6))",0.05123820958542974,-0.2792773957830735,-0.2930129880858306,-0.26513989976931723,0.0001999600079984003,True,4,34696,1767.289807,59.05878,0.06439,0.0674445
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=8))",0.09190895043062249,-0.23860665493788072,-0.2532555588179399,-0.2236929665465039,0.0001999600079984003,True,4,34696,7422.030931,250.68949,0.07939,0.0827765
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=4))",0.048812351252741144,-0.2817032541157621,-0.2957594598390628,-0.26732907304192405,0.0001999600079984003,True,8,69392,796.898539,25.51362,0.10878,0.11594700000000001
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=6))",0.07581640229666858,-0.25469920307183463,-0.26932115845639065,-0.24004647104277863,0.0001999600079984003,True,8,69392,2868.682316,93.66672,0.11581,0.121241
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=8))",0.1009115098534233,-0.2296040955150799,-0.2434911311303353,-0.21524654264353132,0.0001999600079984003,True,8,69392,11792.048456,395.663389,0.141225,0.1492255
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=4))",0.08128825377783994,-0.24922735159066328,-0.26325015272633334,-0.23529958541393714,0.0001999600079984003,True,16,138784,1417.592058,44.17446,0.205665,0.2101155
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=6))",0.10684900042888264,-0.22366660493962057,-0.23789192900351205,-0.2096183904719889,0.0001999600079984003,True,16,138784,5154.146924,165.4845,0.21787499999999999,0.223835
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=8))",0.12168329756900588,-0.20883230779949732,-0.2221318402288366,-0.19547601331704845,0.0001999600079984003,True,16,138784,20158.995135,656.092989,0.26212,0.26930800000000005
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=4))",0.11624586862560715,-0.21426973674289607,-0.2278122877463032,-0.2003620932463848,0.0001999600079984003,True,32,277568,2776.423287,85.22675,0.41391,0.41772899999999996
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=6))",0.13155182766503937,-0.19896377770346385,-0.212390003011112,-0.18564603517858158,0.0001999600079984003,True,32,277568,9932.833878,316.123609,0.43554000000000004,0.43954950000000004
e5-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=8))",0.13396610796174474,-0.1965494974067585,-0.20971573088681797,-0.183189041011248,0.0001999600079984003,True,32,277568,37020.578621,1188.619409,0.519415,0.523605
e5-base,arguana,composed(truncate(keep_dim=64)+binary),0.011043035629289707,-0.31947256973921345,-0.3326010100857304,-0.3058164313323823,0.0001999600079984003,True,8,69392,0.82519,0.6554,0.317655,0.3241095
e5-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=4))",0.024487799134824156,-0.30602780623367903,-0.31908335907775426,-0.2922665885650909,0.0001999600079984003,True,4,34696,515.832568,17.954959,0.061204999999999996,0.06662799999999999
e5-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=6))",0.07868714278216836,-0.25182846258633484,-0.26654225740934895,-0.23654677966068804,0.0001999600079984003,True,4,34696,2410.660056,83.068366,0.06547,0.0685915
e5-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=8))",0.14977324800361072,-0.1807423573648925,-0.1959026322011027,-0.16538616246491086,0.0001999600079984003,True,4,34696,9290.231007,318.478996,0.08429,0.0876535
e5-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",0.06531295109206979,-0.2652026542764334,-0.27967983061679064,-0.24990546073810688,0.0001999600079984003,True,8,69392,913.822041,29.717638,0.10927999999999999,0.1147635
e5-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=6))",0.1166585270083539,-0.21385707836014933,-0.22894416855811078,-0.19865263926125332,0.0001999600079984003,True,8,69392,3618.508733,124.766844,0.116825,0.1222225
