backbone,dataset,spec,index_backend,index_status,index_build_ms,index_bytes,index_query_latency_ms,index_query_p95_ms,index_recall_at_10,index_ndcg_at_10,index_exact_recall_at_10,index_error
e5-base,arguana,identity,exact-numpy,ok,0.00195,26646528,37.019026,53.73280849999998,0.6845110635260528,0.330614568169255,0.9994310099573256,
e5-base,arguana,identity,faiss-flat,missing_backend,,,,,,,,
e5-base,arguana,identity,faiss-ivf,missing_backend,,,,,,,,
e5-base,arguana,identity,faiss-ivfpq,missing_backend,,,,,,,,
e5-base,arguana,identity,faiss-hnsw,missing_backend,,,,,,,,
e5-base,arguana,identity,faiss-opq,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=32),exact-numpy,ok,0.00219,1110272,32.0852105,32.1582535,0.12776588151320487,0.05586756090059007,0.19438122332859173,
e5-base,arguana,truncate(keep_dim=32),faiss-flat,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=32),faiss-ivf,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=32),faiss-ivfpq,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=32),faiss-hnsw,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=32),faiss-opq,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=64),exact-numpy,ok,0.00191,2220544,31.7113155,48.845104999999975,0.2919343326195575,0.13309286620318084,0.3259601706970128,
e5-base,arguana,truncate(keep_dim=64),faiss-flat,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=64),faiss-ivf,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=64),faiss-ivfpq,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=64),faiss-hnsw,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=64),faiss-opq,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=128),exact-numpy,ok,0.00217,4441088,32.32201,33.47986245,0.49464668094218417,0.2293961257663138,0.5042674253200569,
e5-base,arguana,truncate(keep_dim=128),faiss-flat,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=128),faiss-ivf,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=128),faiss-ivfpq,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=128),faiss-hnsw,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=128),faiss-opq,missing_backend,,,,,,,,
e5-base,arguana,truncate(keep_dim=256),exact-numpy,ok,0.0026,8882176,131.99678799999998,149.29333605,0.6588151320485368,0.31522907005818024,0.6691322901849217,
e5-base,arguana,truncate(keep_dim=256),faiss-flat,missing_backend,,,,,,,,
