spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.012552,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.014204,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.023222,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.016577,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.013499,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.076412,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.066060,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.078267,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.065179,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.075801,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.194518,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.202055,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.183407,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.178084,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.180982,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.013608,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.014124,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.013297,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.010991,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.017820,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.080105,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.077678,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.080718,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.086400,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.080099,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.210659,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.208659,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.197486,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.204441,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.207047,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.030188,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.029295,0.0,0.0,0.0
