spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.016011,0.004297,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.072344,0.006213,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.187809,0.010106,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.013968,0.002465,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.081000,0.003236,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.205658,0.005104,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.028909,0.001106,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.117290,0.002584,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.241813,0.004930,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.062263,0.002924,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.163808,0.003389,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.252377,0.006346,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.142734,0.007395,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.225660,0.004212,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.277951,0.002317,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.037622,0.011584,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.234784,0.006206,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.088340,0.009101,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.257680,0.007602,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.121226,0.007452,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.263832,0.007075,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.179142,0.003042,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.269377,0.004551,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.217289,0.006621,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.285087,0.005370,0,0,0,0,0,0
