backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
e5-base,fiqa,identity,0.398640,0.000000,0.000000,0.000000,1.000000,0,3072,177063936,0.0,0.0,0.003015,0.003015
e5-base,fiqa,float16,0.398295,-0.000345,-0.002362,0.001474,0.741252,0,1536,88531968,0.0,0.0,0.003501,0.003501
e5-base,fiqa,truncate(keep_dim=32),0.050690,-0.347950,-0.373866,-0.321541,0.000200,1,128,7377664,0.0,0.0,0.001635,0.001635
e5-base,fiqa,truncate(keep_dim=64),0.147918,-0.250722,-0.274041,-0.227406,0.000200,1,256,14755328,0.0,0.0,0.001691,0.001691
e5-base,fiqa,truncate(keep_dim=128),0.249910,-0.148731,-0.169576,-0.128427,0.000200,1,512,29510656,0.0,0.0,0.001819,0.001819
e5-base,fiqa,truncate(keep_dim=256),0.333820,-0.064821,-0.078748,-0.051183,0.000200,1,1024,59021312,0.0,0.0,0.002141,0.002141
e5-base,fiqa,truncate(keep_dim=512),0.384160,-0.014480,-0.023858,-0.005447,0.003599,1,2048,118042624,0.0,0.0,0.002869,0.002869
e5-base,fiqa,scalar_int8,0.400124,0.001483,-0.000252,0.003497,0.126375,0,768,44265984,0.0,0.0,0.006746,0.006746
e5-base,fiqa,binary,0.171566,-0.227074,-0.250295,-0.203064,0.000200,1,96,5533248,0.0,0.0,0.003445,0.003445
e5-base,fiqa,"product_quantize(n_subspaces=4,n_bits=4)",0.002008,-0.396633,-0.423612,-0.368891,0.000200,1,2,115276,0.0,0.0,0.079692,0.079692
e5-base,fiqa,"product_quantize(n_subspaces=4,n_bits=6)",0.018603,-0.380038,-0.406976,-0.352066,0.000200,1,3,172914,0.0,0.0,0.079304,0.079304
e5-base,fiqa,"product_quantize(n_subspaces=4,n_bits=8)",0.024878,-0.373763,-0.401039,-0.346068,0.000200,1,4,230552,0.0,0.0,0.095320,0.095320
e5-base,fiqa,"product_quantize(n_subspaces=8,n_bits=4)",0.015658,-0.382982,-0.410063,-0.355234,0.000200,1,4,230552,0.0,0.0,0.116149,0.116149
e5-base,fiqa,"product_quantize(n_subspaces=8,n_bits=6)",0.023768,-0.374872,-0.401931,-0.347194,0.000200,1,6,345828,0.0,0.0,0.116297,0.116297
e5-base,fiqa,"product_quantize(n_subspaces=8,n_bits=8)",0.049433,-0.349207,-0.376101,-0.322353,0.000200,1,8,461104,0.0,0.0,0.137896,0.137896
e5-base,fiqa,"product_quantize(n_subspaces=16,n_bits=4)",0.015785,-0.382855,-0.409847,-0.355219,0.000200,1,8,461104,0.0,0.0,0.205092,0.205092
e5-base,fiqa,"product_quantize(n_subspaces=16,n_bits=6)",0.042635,-0.356005,-0.383617,-0.328351,0.000200,1,12,691656,0.0,0.0,0.202701,0.202701
