backbone,dataset,spec,index_backend,index_status,index_build_ms,index_bytes,index_query_latency_ms,index_query_p95_ms,index_recall_at_10,index_ndcg_at_10,index_exact_recall_at_10
e5-base,fiqa,identity,exact-numpy,ok,0.001998,177063936,3024.913939,3204.58510825,0.47050885928200736,0.3986663557596119,1.0
e5-base,fiqa,truncate(keep_dim=32),exact-numpy,ok,0.002943,7377664,2279.1235385,2302.4969097999997,0.08148996065662732,0.050699511198247074,0.05249699157641396
e5-base,fiqa,truncate(keep_dim=64),exact-numpy,ok,0.002707,14755328,2294.708088,2331.7754487,0.18870743454076788,0.14785579849458094,0.1519705174488568
e5-base,fiqa,truncate(keep_dim=128),exact-numpy,ok,0.002852,29510656,2342.7931255000003,2408.54561715,0.30627395581099287,0.2498277797969776,0.31457581227436826
e5-base,fiqa,truncate(keep_dim=256),exact-numpy,ok,0.002432,59021312,2495.1946495,2530.0175707999997,0.3888082553591813,0.3333337309739178,0.5250601684717209
e5-base,fiqa,truncate(keep_dim=512),exact-numpy,ok,0.004146,118042624,2788.6133664999998,2957.3820565,0.4409815150555891,0.38401153322117737,0.7371991576413959
e5-base,fiqa,scalar_int8,exact-numpy,ok,0.008185,177063936,3028.560146,3225.49202415,0.47050885928200736,0.3986344023271591,0.9935920577617328
e5-base,fiqa,binary,exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=4,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=4,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=4,n_bits=8)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=8,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=8,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=8,n_bits=8)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=16,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=16,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=16,n_bits=8)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=32,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=32,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=32,n_bits=8)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=64,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=64,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,fiqa,"product_quantize(n_subspaces=64,n_bits=8)",exact-numpy,not_dense,,,,,,,
