spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.002241,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.008348,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.004571,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.002600,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.005663,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.016529,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.014643,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.014350,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.018593,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.015456,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.024887,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.036027,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.034228,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.029075,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.029963,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.015428,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.010010,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.005728,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.006414,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.007363,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.023960,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.026718,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.021646,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.022541,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.023256,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.051977,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.046375,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.047878,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.044157,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.057976,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.016602,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.018755,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.011832,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.015726,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.011653,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.039911,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",1,0.050115,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",2,0.052413,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",3,0.046013,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",4,0.052381,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",0,0.075432,0.0,0.0,0.0
