spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.004685,0.002485,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.015914,0.001719,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.030836,0.004407,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.008989,0.003950,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.023624,0.001930,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.049673,0.005449,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.014914,0.003098,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.048166,0.005301,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.076324,0.001899,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.047627,0.004905,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.094229,0.004095,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.145892,0.002527,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.127143,0.003712,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.192019,0.005397,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.246309,0.007820,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.023131,0.001858,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.082411,0.003099,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.047178,0.008282,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.117185,0.007201,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.076875,0.001701,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.160077,0.007394,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.141517,0.005240,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.220896,0.012641,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.218578,0.007613,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.303369,0.008386,0,0,0,0,0,0
