backbone,dataset,spec,index_backend,index_status,index_build_ms,index_bytes,index_query_latency_ms,index_query_p95_ms,index_recall_at_10,index_ndcg_at_10,index_exact_recall_at_10,index_error
e5-base,nfcorpus,identity,exact-numpy,ok,0.00207,11160576,48.942933499999995,50.139860549999995,0.16840154904575186,0.3553559211786732,0.999320358356503,
e5-base,nfcorpus,identity,faiss-flat,missing_backend,,,,,,,,
e5-base,nfcorpus,identity,faiss-ivf,missing_backend,,,,,,,,
e5-base,nfcorpus,identity,faiss-ivfpq,missing_backend,,,,,,,,
e5-base,nfcorpus,identity,faiss-hnsw,missing_backend,,,,,,,,
e5-base,nfcorpus,identity,faiss-opq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=32),exact-numpy,ok,0.00171,465024,30.470624,30.530625,0.04752332289584952,0.09326592921863723,0.09947482236638863,
e5-base,nfcorpus,truncate(keep_dim=32),faiss-flat,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=32),faiss-ivf,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=32),faiss-ivfpq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=32),faiss-hnsw,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=32),faiss-opq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=64),exact-numpy,ok,0.00163,930048,28.202034500000003,29.838165,0.0798930319165245,0.16984592774834872,0.2169601482854495,
e5-base,nfcorpus,truncate(keep_dim=64),faiss-flat,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=64),faiss-ivf,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=64),faiss-ivfpq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=64),faiss-hnsw,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=64),faiss-opq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=128),exact-numpy,ok,0.00177,1860096,41.184053500000005,58.835290949999965,0.12609224963263757,0.25754561858048897,0.36058078467717025,
e5-base,nfcorpus,truncate(keep_dim=128),faiss-flat,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=128),faiss-ivf,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=128),faiss-ivfpq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=128),faiss-hnsw,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=128),faiss-opq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=256),exact-numpy,ok,0.00176,3720192,39.990019000000004,40.84231845,0.14312282264487938,0.3108818016293918,0.5292554834723509,
e5-base,nfcorpus,truncate(keep_dim=256),faiss-flat,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=256),faiss-ivf,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=256),faiss-ivfpq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=256),faiss-hnsw,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=256),faiss-opq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=512),exact-numpy,ok,0.00206,7440384,45.6391785,74.29830644999996,0.16360335765710113,0.3418719547668591,0.7291628050664196,
e5-base,nfcorpus,truncate(keep_dim=512),faiss-flat,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=512),faiss-ivf,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=512),faiss-ivfpq,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=512),faiss-hnsw,missing_backend,,,,,,,,
e5-base,nfcorpus,truncate(keep_dim=512),faiss-opq,missing_backend,,,,,,,,
e5-base,nfcorpus,scalar_int8,exact-numpy,ok,0.00241,11160576,48.941852999999995,50.6296785,0.16847731104685995,0.3561554720197714,0.9939141180105036,
e5-base,nfcorpus,scalar_int8,faiss-flat,missing_backend,,,,,,,,
e5-base,nfcorpus,scalar_int8,faiss-ivf,missing_backend,,,,,,,,
e5-base,nfcorpus,scalar_int8,faiss-ivfpq,missing_backend,,,,,,,,
e5-base,nfcorpus,scalar_int8,faiss-hnsw,missing_backend,,,,,,,,
e5-base,nfcorpus,scalar_int8,faiss-opq,missing_backend,,,,,,,,
e5-base,nfcorpus,binary,exact-numpy,not_dense,,,,,,,,
e5-base,nfcorpus,binary,faiss-flat,not_dense,,,,,,,,
e5-base,nfcorpus,binary,faiss-ivf,not_dense,,,,,,,,
e5-base,nfcorpus,binary,faiss-ivfpq,not_dense,,,,,,,,
e5-base,nfcorpus,binary,faiss-hnsw,not_dense,,,,,,,,
e5-base,nfcorpus,binary,faiss-opq,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=4)",exact-numpy,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=4)",faiss-flat,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=4)",faiss-opq,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=6)",exact-numpy,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=6)",faiss-flat,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=6)",faiss-hnsw,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=6)",faiss-opq,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=8)",exact-numpy,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=8)",faiss-flat,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=8)",faiss-ivf,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=8)",faiss-ivfpq,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=8)",faiss-hnsw,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=8)",faiss-opq,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=4)",exact-numpy,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=4)",faiss-flat,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
e5-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=4)",faiss-opq,not_dense,,,,,,,,
