spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.052596,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.057929,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.067897,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.061588,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.062676,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.141420,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.133161,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.121734,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.125330,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.131963,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.206273,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.223277,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.223682,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.203204,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.219150,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.061303,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.081830,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.063175,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.065257,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.065878,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.145528,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.136296,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.142552,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.131829,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.139761,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.216200,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.213847,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.222927,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.206886,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.229349,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.082862,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.090157,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.100240,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.094207,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.095346,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.174022,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",1,0.165001,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",2,0.158340,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",3,0.172995,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",4,0.164101,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",0,0.242818,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",1,0.242687,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",2,0.236121,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",3,0.238579,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",4,0.232538,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",0,0.149574,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",1,0.149408,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",2,0.143790,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",3,0.164489,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",4,0.157990,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",0,0.222565,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",1,0.216947,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",2,0.229877,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",3,0.223441,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",4,0.215217,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",0,0.264568,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",1,0.270306,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",2,0.265162,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",3,0.265764,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",4,0.263623,0.0,0.0,0.0
