spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.060537,0.005694,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.130722,0.007613,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.215117,0.009700,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.067489,0.008217,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.139193,0.005347,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.217842,0.008616,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.092562,0.006505,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.166892,0.006568,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.238548,0.004398,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.153050,0.008160,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.221609,0.005815,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.265884,0.002595,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.221797,0.007099,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.276188,0.009275,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.307779,0.004576,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.120537,0.007297,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.264385,0.007690,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.172322,0.007987,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.274677,0.005975,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.220934,0.011254,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.297293,0.005435,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.261723,0.006119,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.308378,0.006788,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.299802,0.010091,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.329188,0.003653,0,0,0,0,0,0
