backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
e5-base,scifact,identity,0.719575,0.000000,0.000000,0.000000,1.000000,0,3072,15922176,0.0,0.0,0.000986,0.000986
e5-base,scifact,float16,0.719931,0.000356,-0.000213,0.001116,0.431314,0,1536,7961088,0.0,0.0,0.017952,0.017952
e5-base,scifact,truncate(keep_dim=32),0.194618,-0.524957,-0.571780,-0.478338,0.000200,1,128,663424,0.0,0.0,0.002324,0.002324
e5-base,scifact,truncate(keep_dim=64),0.372248,-0.347327,-0.391673,-0.304231,0.000200,1,256,1326848,0.0,0.0,0.001072,0.001072
e5-base,scifact,truncate(keep_dim=128),0.547688,-0.171887,-0.208502,-0.135468,0.000200,1,512,2653696,0.0,0.0,0.000872,0.000872
e5-base,scifact,truncate(keep_dim=256),0.674433,-0.045142,-0.071322,-0.019737,0.000200,1,1024,5307392,0.0,0.0,0.000799,0.000799
e5-base,scifact,truncate(keep_dim=512),0.707593,-0.011982,-0.028776,0.004826,0.156969,0,2048,10614784,0.0,0.0,0.000932,0.000932
e5-base,scifact,scalar_int8,0.719813,0.000238,-0.000731,0.001651,0.951210,0,768,3980544,0.0,0.0,0.063316,0.063316
e5-base,scifact,binary,0.430308,-0.289267,-0.332450,-0.248794,0.000200,1,96,497568,0.0,0.0,0.008761,0.008761
e5-base,scifact,"product_quantize(n_subspaces=4,n_bits=4)",0.044768,-0.674807,-0.718417,-0.630375,0.000200,1,2,10366,0.0,0.0,0.319574,0.319574
e5-base,scifact,"product_quantize(n_subspaces=4,n_bits=6)",0.122858,-0.596717,-0.640976,-0.551022,0.000200,1,3,15549,0.0,0.0,0.078826,0.078826
e5-base,scifact,"product_quantize(n_subspaces=4,n_bits=8)",0.228326,-0.491249,-0.539654,-0.442039,0.000200,1,4,20732,0.0,0.0,0.081027,0.081027
e5-base,scifact,"product_quantize(n_subspaces=8,n_bits=4)",0.045480,-0.674095,-0.716260,-0.630776,0.000200,1,4,20732,0.0,0.0,0.152816,0.152816
e5-base,scifact,"product_quantize(n_subspaces=8,n_bits=6)",0.167332,-0.552243,-0.596368,-0.506157,0.000200,1,6,31098,0.0,0.0,0.152998,0.152998
e5-base,scifact,"product_quantize(n_subspaces=8,n_bits=8)",0.286527,-0.433048,-0.480546,-0.385229,0.000200,1,8,41464,0.0,0.0,0.152994,0.152994
e5-base,scifact,"product_quantize(n_subspaces=16,n_bits=4)",0.119275,-0.600300,-0.644563,-0.555940,0.000200,1,8,41464,0.0,0.0,0.304555,0.304555
e5-base,scifact,"product_quantize(n_subspaces=16,n_bits=6)",0.258225,-0.461350,-0.507508,-0.414678,0.000200,1,12,62196,0.0,0.0,0.305198,0.305198
e5-base,scifact,"product_quantize(n_subspaces=16,n_bits=8)",0.378142,-0.341433,-0.385117,-0.297411,0.000200,1,16,82928,0.0,0.0,0.303200,0.303200
e5-base,scifact,"product_quantize(n_subspaces=32,n_bits=4)",0.251390,-0.468185,-0.512779,-0.422617,0.000200,1,16,82928,0.0,0.0,0.601411,0.601411
e5-base,scifact,"product_quantize(n_subspaces=32,n_bits=6)",0.421549,-0.298026,-0.341796,-0.254781,0.000200,1,24,124392,0.0,0.0,0.608454,0.608454
e5-base,scifact,"product_quantize(n_subspaces=32,n_bits=8)",0.513647,-0.205928,-0.245038,-0.167099,0.000200,1,32,165856,0.0,0.0,0.605439,0.605439
e5-base,scifact,"product_quantize(n_subspaces=64,n_bits=4)",0.387170,-0.332405,-0.375257,-0.289209,0.000200,1,32,165856,0.0,0.0,1.219761,1.219761
e5-base,scifact,"product_quantize(n_subspaces=64,n_bits=6)",0.539084,-0.180491,-0.213336,-0.148876,0.000200,1,48,248784,0.0,0.0,1.202035,1.202035
e5-base,scifact,"product_quantize(n_subspaces=64,n_bits=8)",0.617193,-0.102382,-0.131556,-0.073899,0.000200,1,64,331712,0.0,0.0,1.205032,1.205032
e5-base,scifact,"opq(n_subspaces=4,n_bits=4)",0.107130,-0.612445,-0.657521,-0.566960,0.000200,1,2,10366,0.0,0.0,1.534784,1.534784
e5-base,scifact,"opq(n_subspaces=4,n_bits=8)",0.343743,-0.375832,-0.422358,-0.328095,0.000200,1,4,20732,0.0,0.0,1.190200,1.190200
e5-base,scifact,"opq(n_subspaces=8,n_bits=4)",0.259702,-0.459873,-0.508390,-0.411646,0.000200,1,4,20732,0.0,0.0,2.166285,2.166285
e5-base,scifact,"opq(n_subspaces=8,n_bits=8)",0.420304,-0.299271,-0.340933,-0.257786,0.000200,1,8,41464,0.0,0.0,1.535574,1.535574
e5-base,scifact,"opq(n_subspaces=16,n_bits=4)",0.374026,-0.345549,-0.389630,-0.302821,0.000200,1,8,41464,0.0,0.0,2.798260,2.798260
e5-base,scifact,"opq(n_subspaces=16,n_bits=8)",0.517914,-0.201661,-0.237717,-0.166408,0.000200,1,16,82928,0.0,0.0,2.385264,2.385264
e5-base,scifact,"opq(n_subspaces=32,n_bits=4)",0.505026,-0.214549,-0.253340,-0.176855,0.000200,1,16,82928,0.0,0.0,4.397838,4.397838
e5-base,scifact,"opq(n_subspaces=32,n_bits=8)",0.579439,-0.140136,-0.172845,-0.108438,0.000200,1,32,165856,0.0,0.0,4.078878,4.078878
e5-base,scifact,"opq(n_subspaces=64,n_bits=4)",0.544833,-0.174742,-0.207411,-0.142978,0.000200,1,32,165856,0.0,0.0,7.647819,7.647819
e5-base,scifact,"opq(n_subspaces=64,n_bits=8)",0.665714,-0.053861,-0.075692,-0.032998,0.000200,1,64,331712,0.0,0.0,7.448399,7.448399
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=4))",0.021821,-0.697754,-0.739520,-0.655235,0.000200,1,2,10366,0.0,0.0,0.074471,0.074471
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=6))",0.031970,-0.687605,-0.730479,-0.643070,0.000200,1,3,15549,0.0,0.0,0.073361,0.073361
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=8))",0.056810,-0.662765,-0.705683,-0.617837,0.000200,1,4,20732,0.0,0.0,0.073079,0.073079
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=4))",0.037865,-0.681710,-0.723651,-0.640482,0.000200,1,4,20732,0.0,0.0,0.145164,0.145164
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=6))",0.082498,-0.637077,-0.682007,-0.591691,0.000200,1,6,31098,0.0,0.0,0.142638,0.142638
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=8))",0.105398,-0.614177,-0.657200,-0.570381,0.000200,1,8,41464,0.0,0.0,0.143194,0.143194
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=4))",0.093304,-0.626271,-0.668589,-0.582288,0.000200,1,8,41464,0.0,0.0,0.287798,0.287798
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=6))",0.188850,-0.530725,-0.575361,-0.484652,0.000200,1,12,62196,0.0,0.0,0.288897,0.288897
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=8))",0.255986,-0.463589,-0.507941,-0.418095,0.000200,1,16,82928,0.0,0.0,0.288769,0.288769
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=4))",0.257833,-0.461742,-0.507887,-0.414510,0.000200,1,16,82928,0.0,0.0,0.575296,0.575296
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=6))",0.310900,-0.408675,-0.453573,-0.363288,0.000200,1,24,124392,0.0,0.0,0.574794,0.574794
e5-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=8))",0.354365,-0.365210,-0.409940,-0.321210,0.000200,1,32,165856,0.0,0.0,0.566267,0.566267
e5-base,scifact,composed(truncate(keep_dim=64)+binary),0.048001,-0.671574,-0.715286,-0.626958,0.000200,1,8,41464,0.0,0.0,0.000921,0.000921
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=4))",0.031072,-0.688503,-0.729832,-0.646496,0.000200,1,2,10366,0.0,0.0,0.072587,0.072587
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=6))",0.057077,-0.662498,-0.704508,-0.618617,0.000200,1,3,15549,0.0,0.0,0.072630,0.072630
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=8))",0.115084,-0.604491,-0.650546,-0.556268,0.000200,1,4,20732,0.0,0.0,0.072208,0.072208
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",0.065338,-0.654236,-0.697016,-0.610094,0.000200,1,4,20732,0.0,0.0,0.145298,0.145298
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=6))",0.094071,-0.625504,-0.668973,-0.580416,0.000200,1,6,31098,0.0,0.0,0.143488,0.143488
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=8))",0.153743,-0.565831,-0.610138,-0.520643,0.000200,1,8,41464,0.0,0.0,0.143851,0.143851
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=4))",0.102494,-0.617081,-0.661162,-0.571978,0.000200,1,8,41464,0.0,0.0,0.288125,0.288125
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=6))",0.175201,-0.544374,-0.589947,-0.500221,0.000200,1,12,62196,0.0,0.0,0.283114,0.283114
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=8))",0.275640,-0.443935,-0.487703,-0.400071,0.000200,1,16,82928,0.0,0.0,0.284770,0.284770
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=4))",0.248663,-0.470912,-0.516860,-0.424824,0.000200,1,16,82928,0.0,0.0,0.572655,0.572655
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=6))",0.350368,-0.369207,-0.411465,-0.326112,0.000200,1,24,124392,0.0,0.0,0.573144,0.573144
e5-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=8))",0.466011,-0.253564,-0.292135,-0.214701,0.000200,1,32,165856,0.0,0.0,0.572629,0.572629
e5-base,scifact,composed(truncate(keep_dim=128)+binary),0.089205,-0.630370,-0.675371,-0.585057,0.000200,1,16,82928,0.0,0.0,0.001039,0.001039
e5-base,scifact,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=4))",0.037737,-0.681838,-0.723971,-0.638975,0.000200,1,2,10366,0.0,0.0,0.072742,0.072742
