spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.044768,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.028376,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.031108,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.034020,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.028464,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.122858,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.113918,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.107893,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.118366,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.101858,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.228326,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.202989,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.260832,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.257123,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.270159,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.046139,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.063708,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.038663,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.046793,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.049035,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.170746,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.189717,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.167488,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.171336,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.172970,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.285773,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.323565,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.260527,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.318445,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.290840,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.117561,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.105886,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.127167,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.115174,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.129777,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.257789,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",1,0.282045,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",2,0.235126,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",3,0.273971,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",4,0.243203,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",0,0.378142,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",1,0.374568,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",2,0.394644,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",3,0.407470,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",4,0.387497,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",0,0.249254,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",1,0.214355,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",2,0.219339,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",3,0.224526,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",4,0.234021,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",0,0.419386,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",1,0.354741,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",2,0.394599,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",3,0.386660,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",4,0.377886,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",0,0.513196,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",1,0.503116,0.0,0.0,0.0
