spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.033347,0.006791,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.112979,0.008322,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.243886,0.027692,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.048868,0.009167,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.174451,0.008763,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.295830,0.025754,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.119113,0.009637,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.258427,0.019840,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.388464,0.013229,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.228299,0.013791,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.386654,0.023610,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.501565,0.009118,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.396762,0.013065,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.532754,0.007162,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.605978,0.010939,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.136180,0.013273,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.366509,0.031251,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.227311,0.008354,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.440174,0.018639,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.375212,0.028423,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.520536,0.018427,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.483100,0.020191,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.598616,0.015758,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.572213,0.009543,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.657950,0.007420,0,0,0,0,0,0
