backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
e5-base,trec-covid,identity,0.6753170551386579,0.0,0.0,0.0,1.0,False,3072,526331904,0.0,0.01252,3.696583,3.71651
e5-base,trec-covid,truncate(keep_dim=32),0.17763865269167714,-0.4976784024469809,-0.5629073729350045,-0.43253834533710733,0.0001999600079984003,True,128,21930496,0.0,15.150101,0.069195,0.07719200000000001
e5-base,trec-covid,truncate(keep_dim=64),0.3786660827426609,-0.2966509723959971,-0.36596042122593214,-0.2274410859040044,0.0001999600079984003,True,256,43860992,0.0,41.609995,0.09358,0.13210600000000003
e5-base,trec-covid,truncate(keep_dim=128),0.5612400619088882,-0.11407699322976975,-0.17783896059884646,-0.05397117459079036,0.0007998400319936012,True,512,87721984,0.0,42.042955,2.999448,3.003884
e5-base,trec-covid,truncate(keep_dim=256),0.6733483764267425,-0.0019686787119155276,-0.03965141518366138,0.035085748813269334,0.9196160767846431,False,1024,175443968,0.0,81.463081,5.998431,6.0512440000000005
e5-base,trec-covid,truncate(keep_dim=512),0.6521903023805836,-0.023126752758074326,-0.04376084685627577,-0.002075911423591507,0.03679264147170566,True,2048,350887936,0.0,169.546388,2.180109,2.75086745
e5-base,trec-covid,scalar_int8,0.6737764395776936,-0.001540615560964199,-0.00422206052855785,-4.977000688344824e-06,0.08338332333533294,False,768,131582976,75.261995,222.148808,324.1696965,325.68991145
e5-base,trec-covid,binary,0.33585187690698776,-0.3394651782316702,-0.3975553030172358,-0.28330470983081885,0.0001999600079984003,True,96,16447872,0.0,37.094258,31.3882665,32.43777245
e5-base,trec-covid,"product_quantize(n_subspaces=4,n_bits=4)",0.029363639535349356,-0.6459534156033087,-0.7100447858998957,-0.5825075963993779,0.0001999600079984003,True,4,685328,41769.74366,1524.006785,0.98403,1.07745155
e5-base,trec-covid,"product_quantize(n_subspaces=4,n_bits=6)",0.1161407791853068,-0.5591762759533512,-0.6380880008142519,-0.47668661749968383,0.0001999600079984003,True,4,685328,140223.349746,5278.078326,1.0027840000000001,1.05068145
e5-base,trec-covid,"product_quantize(n_subspaces=4,n_bits=8)",0.31004173385423894,-0.365275321284419,-0.4437690841259876,-0.2871375362711351,0.0001999600079984003,True,4,685328,555033.14908,20871.782835,1.0449145,1.1753449999999999
e5-base,trec-covid,"product_quantize(n_subspaces=8,n_bits=4)",0.10723703443755771,-0.5680800207011003,-0.6366760122474271,-0.49908795271879747,0.0001999600079984003,True,8,1370656,50733.75702,1841.296603,1.6983489999999999,1.8168490000000002
e5-base,trec-covid,"product_quantize(n_subspaces=8,n_bits=6)",0.22352478890057648,-0.45179226623808155,-0.5346221874260212,-0.36744246802992464,0.0001999600079984003,True,8,1370656,168341.152279,6177.620823,2.095534,2.3599305
e5-base,trec-covid,"product_quantize(n_subspaces=8,n_bits=8)",0.3618499976340738,-0.3134670575045842,-0.38495239317670066,-0.241957922840983,0.0001999600079984003,True,8,1370656,653547.012259,24621.89097,2.254989,2.50009755
e5-base,trec-covid,"product_quantize(n_subspaces=16,n_bits=4)",0.2272563812437273,-0.44806067389493065,-0.5205623491111668,-0.37542333071642825,0.0001999600079984003,True,16,2741312,67507.264882,2348.439386,4.1670324999999995,4.710327500000001
e5-base,trec-covid,"product_quantize(n_subspaces=16,n_bits=6)",0.3305566796763181,-0.34476037546233995,-0.4355373106424383,-0.2500556817438437,0.0001999600079984003,True,16,2741312,231991.32273,8521.327211,4.4557075,4.8269175
e5-base,trec-covid,"product_quantize(n_subspaces=16,n_bits=8)",0.4879712790685604,-0.18734577607009753,-0.25349466895501266,-0.12481605696150543,0.0001999600079984003,True,16,2741312,800491.678541,29922.74887,4.474762500000001,4.6535819499999995
e5-base,trec-covid,"product_quantize(n_subspaces=32,n_bits=4)",0.38449525726595435,-0.2908217978727037,-0.3581189726544693,-0.2243764242799189,0.0001999600079984003,True,32,5482624,95071.477344,3203.227757,8.920469,9.652209500000001
e5-base,trec-covid,"product_quantize(n_subspaces=32,n_bits=6)",0.5411373088976986,-0.13417974624095935,-0.1987877110753592,-0.07335921991793597,0.0001999600079984003,True,32,5482624,326054.370327,11692.367826,9.1334595,9.790402
e5-base,trec-covid,"product_quantize(n_subspaces=32,n_bits=8)",0.6055226957359252,-0.06979435940273272,-0.1211962470017742,-0.016190401152323706,0.01279744051189762,True,32,5482624,1107566.418669,40148.887858,9.08507,9.8181975
e5-base,trec-covid,"product_quantize(n_subspaces=64,n_bits=4)",0.5813149349635006,-0.09400212017515727,-0.15668486637819665,-0.035547250755053855,0.002599480103979204,True,64,10965248,156463.525432,5154.641004,18.971034000000003,19.406167
e5-base,trec-covid,"product_quantize(n_subspaces=64,n_bits=6)",0.6176016522381336,-0.05771540290052436,-0.10321254331311837,-0.014539308933888493,0.013597280543891222,True,64,10965248,555166.298231,19971.064057,20.8985375,21.303584949999998
e5-base,trec-covid,"product_quantize(n_subspaces=64,n_bits=8)",0.6388889847417214,-0.03642807039693662,-0.07418251089542349,0.0020241990316693546,0.0673865226954609,False,64,10965248,2043068.34704,75111.69169,19.7839885,20.33171145
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=4))",0.043590616094047435,-0.6317264390446106,-0.6966592553945213,-0.5667283724245317,0.0001999600079984003,True,4,685328,10269.391414,340.911746,0.9016145,0.9788845
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=6))",0.13748811069619893,-0.5378289444424591,-0.6166121674673596,-0.4566399024807573,0.0001999600079984003,True,4,685328,35801.348702,1253.251562,1.009244,1.143469
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=8))",0.21976140803541377,-0.4555556471032442,-0.532067892337278,-0.37650456473608257,0.0001999600079984003,True,4,685328,137998.848403,4937.898764,1.064245,1.18234745
