backbone,dataset,spec,index_backend,index_status,index_build_ms,index_bytes,index_query_latency_ms,index_query_p95_ms,index_recall_at_10,index_ndcg_at_10,index_exact_recall_at_10
e5-base,trec-covid,identity,exact-numpy,ok,0.00207,526331904,38.68234699999999,39.350717,0.019610372439609305,0.6753170551386579,1.0
e5-base,trec-covid,truncate(keep_dim=32),exact-numpy,ok,0.00213,21930496,33.004900500000005,37.45279245,0.004097209267372441,0.17763865269167714,0.038000000000000006
e5-base,trec-covid,truncate(keep_dim=64),exact-numpy,ok,0.00163,43860992,30.7826965,32.143265,0.009972644419471592,0.3786660827426609,0.18200000000000002
e5-base,trec-covid,truncate(keep_dim=128),exact-numpy,ok,0.00191,87721984,33.368930000000006,35.00889745,0.0156722169116251,0.5612400619088882,0.31200000000000006
e5-base,trec-covid,truncate(keep_dim=256),exact-numpy,ok,0.0022,175443968,32.409580500000004,33.346052449999995,0.019101324921221904,0.6733483764267425,0.512
e5-base,trec-covid,truncate(keep_dim=512),exact-numpy,ok,0.00199,350887936,36.200604,36.405718,0.01908188674759281,0.6521903023805836,0.75
e5-base,trec-covid,scalar_int8,exact-numpy,ok,0.00318,526331904,37.7622875,39.23987845,0.01950566039772449,0.6737764395776936,0.9940000000000001
e5-base,trec-covid,binary,exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=4,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=4,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=4,n_bits=8)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=8,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=8,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=8,n_bits=8)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=16,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=16,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=16,n_bits=8)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=32,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=32,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=32,n_bits=8)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=64,n_bits=4)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=64,n_bits=6)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"product_quantize(n_subspaces=64,n_bits=8)",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,composed(truncate(keep_dim=64)+binary),exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,composed(truncate(keep_dim=128)+binary),exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=4))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=6))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=8))",exact-numpy,not_dense,,,,,,,
e5-base,trec-covid,composed(truncate(keep_dim=256)+binary),exact-numpy,not_dense,,,,,,,
