spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.062989,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.068824,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.065681,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.066846,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.055809,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.159751,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.152789,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.145879,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.139183,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.156592,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.256968,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.252738,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.253039,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.238004,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.246098,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.069127,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.085014,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.081310,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.075492,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.083038,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.187356,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.173396,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.181476,0.0,0.0,0.0
