spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.064030,0.005057,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.150839,0.008319,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.249370,0.007457,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.078796,0.006469,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.178402,0.006728,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.266334,0.008589,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.125646,0.005127,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.213326,0.008897,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.288306,0.005370,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.220125,0.004599,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.279065,0.004677,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.322902,0.005781,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.302337,0.004466,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.337871,0.004775,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.361887,0.003037,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.145864,0.009974,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.290974,0.008371,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.217540,0.007647,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.318246,0.007378,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.284576,0.004737,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.334631,0.005733,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.323108,0.007712,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.362409,0.002544,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.358089,0.004486,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.383435,0.001921,0,0,0,0,0,0
