backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
gte-base,fiqa,identity,0.407549,0.000000,0.000000,0.000000,1.000000,0,3072,177063936,0.0,0.0,0.003038,0.003038
gte-base,fiqa,float16,0.407170,-0.000379,-0.001557,0.000580,0.584483,0,1536,88531968,0.0,0.0,0.003522,0.003522
gte-base,fiqa,truncate(keep_dim=32),0.119342,-0.288207,-0.313069,-0.263196,0.000200,1,128,7377664,0.0,0.0,0.001560,0.001560
gte-base,fiqa,truncate(keep_dim=64),0.243893,-0.163656,-0.183460,-0.144107,0.000200,1,256,14755328,0.0,0.0,0.001639,0.001639
gte-base,fiqa,truncate(keep_dim=128),0.318172,-0.089377,-0.106484,-0.073027,0.000200,1,512,29510656,0.0,0.0,0.001776,0.001776
gte-base,fiqa,truncate(keep_dim=256),0.368517,-0.039033,-0.051828,-0.027345,0.000200,1,1024,59021312,0.0,0.0,0.002122,0.002122
gte-base,fiqa,truncate(keep_dim=512),0.403526,-0.004024,-0.010608,0.002570,0.238352,0,2048,118042624,0.0,0.0,0.002882,0.002882
gte-base,fiqa,scalar_int8,0.406946,-0.000604,-0.001811,0.000392,0.359728,0,768,44265984,0.0,0.0,0.006275,0.006275
gte-base,fiqa,binary,0.317664,-0.089885,-0.106942,-0.073582,0.000200,1,96,5533248,0.0,0.0,0.003418,0.003418
gte-base,fiqa,"product_quantize(n_subspaces=4,n_bits=4)",0.009647,-0.397903,-0.425584,-0.370317,0.000200,1,2,115276,0.0,0.0,0.077632,0.077632
gte-base,fiqa,"product_quantize(n_subspaces=4,n_bits=6)",0.019915,-0.387635,-0.415814,-0.360284,0.000200,1,3,172914,0.0,0.0,0.078450,0.078450
gte-base,fiqa,"product_quantize(n_subspaces=4,n_bits=8)",0.044849,-0.362701,-0.389780,-0.335517,0.000200,1,4,230552,0.0,0.0,0.094162,0.094162
gte-base,fiqa,"product_quantize(n_subspaces=8,n_bits=4)",0.008973,-0.398576,-0.426344,-0.371035,0.000200,1,4,230552,0.0,0.0,0.113822,0.113822
gte-base,fiqa,"product_quantize(n_subspaces=8,n_bits=6)",0.028856,-0.378694,-0.406454,-0.351133,0.000200,1,6,345828,0.0,0.0,0.118820,0.118820
