spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.009628,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.005121,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.006909,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.005516,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.005147,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.019655,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.020787,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.022003,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.018114,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.016153,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.044669,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.051963,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.033726,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.047746,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.045265,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.009246,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.014538,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.019749,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.012693,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.012144,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.029676,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.028350,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.032971,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.029784,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.040039,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.073757,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.058608,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.074116,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.063745,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.077645,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.026847,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.025042,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.035679,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.023712,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.018063,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.055470,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",1,0.061397,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",2,0.055981,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",3,0.056601,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",4,0.058512,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",0,0.099984,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",1,0.092837,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",2,0.097993,0.0,0.0,0.0
