spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.006464,0.001914,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.019342,0.002288,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.044674,0.006760,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.013674,0.003891,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.032164,0.004719,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.069574,0.008023,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.025868,0.006393,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.057592,0.002419,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.095564,0.003376,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.072583,0.002286,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.126940,0.004536,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.181060,0.004897,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.170794,0.006978,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.249587,0.006475,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.294592,0.004668,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.024305,0.003048,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.094691,0.005169,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.060319,0.007796,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.145068,0.007376,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.107271,0.005116,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.201514,0.005917,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.187749,0.013471,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.276508,0.006130,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.277164,0.002891,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.343756,0.004611,0,0,0,0,0,0
