backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
gte-base,nfcorpus,identity,0.379892,0.000000,0.000000,0.000000,1.000000,0,3072,11160576,0.0,0.0,0.000680,0.000680
gte-base,nfcorpus,float16,0.380125,0.000233,-0.000160,0.000713,0.325335,0,1536,5580288,0.0,0.0,0.000669,0.000669
gte-base,nfcorpus,truncate(keep_dim=32),0.170894,-0.208998,-0.236125,-0.181522,0.000200,1,128,465024,0.0,0.0,0.000891,0.000891
gte-base,nfcorpus,truncate(keep_dim=64),0.248575,-0.131317,-0.153231,-0.109236,0.000200,1,256,930048,0.0,0.0,0.000898,0.000898
gte-base,nfcorpus,truncate(keep_dim=128),0.317496,-0.062396,-0.078947,-0.046664,0.000200,1,512,1860096,0.0,0.0,0.000784,0.000784
gte-base,nfcorpus,truncate(keep_dim=256),0.352666,-0.027226,-0.037717,-0.017048,0.000200,1,1024,3720192,0.0,0.0,0.001017,0.001017
gte-base,nfcorpus,truncate(keep_dim=512),0.372871,-0.007021,-0.013329,-0.001146,0.022595,1,2048,7440384,0.0,0.0,0.001037,0.001037
gte-base,nfcorpus,scalar_int8,0.380196,0.000304,-0.000064,0.000915,0.282943,0,768,2790144,0.0,0.0,0.001394,0.001394
gte-base,nfcorpus,binary,0.327667,-0.052225,-0.066296,-0.039249,0.000200,1,96,348768,0.0,0.0,0.000789,0.000789
gte-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=4)",0.065548,-0.314344,-0.349358,-0.281001,0.000200,1,2,7266,0.0,0.0,0.069437,0.069437
gte-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=6)",0.150130,-0.229762,-0.261808,-0.198723,0.000200,1,3,10899,0.0,0.0,0.067253,0.067253
gte-base,nfcorpus,"product_quantize(n_subspaces=4,n_bits=8)",0.271224,-0.108668,-0.137384,-0.081022,0.000200,1,4,14532,0.0,0.0,0.071038,0.071038
gte-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=4)",0.099458,-0.280434,-0.313961,-0.248405,0.000200,1,4,14532,0.0,0.0,0.132470,0.132470
gte-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=6)",0.194141,-0.185751,-0.216068,-0.155174,0.000200,1,6,21798,0.0,0.0,0.133730,0.133730
gte-base,nfcorpus,"product_quantize(n_subspaces=8,n_bits=8)",0.287190,-0.092702,-0.120411,-0.065869,0.000200,1,8,29064,0.0,0.0,0.133713,0.133713
gte-base,nfcorpus,"product_quantize(n_subspaces=16,n_bits=4)",0.145682,-0.234210,-0.264747,-0.204288,0.000200,1,8,29064,0.0,0.0,0.262185,0.262185
gte-base,nfcorpus,"product_quantize(n_subspaces=16,n_bits=6)",0.243266,-0.136626,-0.162445,-0.111432,0.000200,1,12,43596,0.0,0.0,0.262772,0.262772
gte-base,nfcorpus,"product_quantize(n_subspaces=16,n_bits=8)",0.298370,-0.081522,-0.107280,-0.056819,0.000200,1,16,58128,0.0,0.0,0.264801,0.264801
gte-base,nfcorpus,"product_quantize(n_subspaces=32,n_bits=4)",0.214098,-0.165795,-0.191699,-0.140676,0.000200,1,16,58128,0.0,0.0,0.530193,0.530193
gte-base,nfcorpus,"product_quantize(n_subspaces=32,n_bits=6)",0.289272,-0.090620,-0.111214,-0.070562,0.000200,1,24,87192,0.0,0.0,0.523179,0.523179
gte-base,nfcorpus,"product_quantize(n_subspaces=32,n_bits=8)",0.321837,-0.058055,-0.077402,-0.040106,0.000200,1,32,116256,0.0,0.0,0.524599,0.524599
gte-base,nfcorpus,"product_quantize(n_subspaces=64,n_bits=4)",0.293337,-0.086555,-0.103073,-0.070500,0.000200,1,32,116256,0.0,0.0,1.054832,1.054832
