spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.065548,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.075692,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.068218,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.056195,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.062310,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.148951,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.161336,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.163471,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.176148,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.158182,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.271224,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.242962,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.265261,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.250926,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.253344,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.099458,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.079447,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.101402,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.082524,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.091448,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.190929,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.177451,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.184355,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.195373,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.187907,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.287190,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.277937,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.268786,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.278378,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.282297,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.146638,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.144497,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.170027,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.153672,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.137931,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.244670,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",1,0.224847,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",2,0.231482,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",3,0.237298,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",4,0.228558,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",0,0.298411,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",1,0.296293,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",2,0.294170,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",3,0.304595,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",4,0.298760,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",0,0.214098,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",1,0.210751,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",2,0.208779,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",3,0.223460,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",4,0.216493,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",0,0.289560,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",1,0.282661,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",2,0.278247,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",3,0.292652,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",4,0.287208,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",0,0.321837,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",1,0.326421,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",2,0.329599,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",3,0.331580,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",4,0.326641,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",0,0.293265,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",1,0.286834,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",2,0.286539,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",3,0.285221,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=4)",4,0.289685,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",0,0.325449,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",1,0.331102,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",2,0.331235,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",3,0.321830,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=6)",4,0.328110,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",0,0.360565,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",1,0.359160,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",2,0.354095,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",3,0.350703,0.0,0.0,0.0
"product_quantize(n_subspaces=64,n_bits=8)",4,0.350640,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",0,0.138767,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",1,0.147074,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",2,0.163481,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",3,0.123715,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=4)",4,0.133744,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",0,0.317289,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",1,0.301709,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",2,0.300427,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",3,0.303247,0.0,0.0,0.0
"opq(n_subspaces=4,n_bits=8)",4,0.295304,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",0,0.213671,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",1,0.225999,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",2,0.229118,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",3,0.207931,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=4)",4,0.209304,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=8)",0,0.317153,0.0,0.0,0.0
"opq(n_subspaces=8,n_bits=8)",1,0.333984,0.0,0.0,0.0
