spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.065593,0.007211,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.161618,0.009835,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.256743,0.011375,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.090856,0.009813,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.187203,0.006789,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.278918,0.006778,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.150553,0.012250,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.233371,0.007786,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.298446,0.003900,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.214716,0.005722,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.286066,0.005693,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.327216,0.003695,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.288309,0.003213,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.327545,0.003989,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.355033,0.004652,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.141356,0.014984,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.303595,0.008216,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.217204,0.009749,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.324192,0.006552,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.284015,0.006379,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.340593,0.006045,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.316403,0.003525,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.355176,0.004571,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.343501,0.004356,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.367876,0.002761,0,0,0,0,0,0
