backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
gte-base,scifact,identity,0.761780,0.000000,0.000000,0.000000,1.000000,0,3072,15922176,0.0,0.0,0.000689,0.000689
gte-base,scifact,float16,0.761548,-0.000232,-0.000563,0.000000,0.257548,0,1536,7961088,0.0,0.0,0.000720,0.000720
gte-base,scifact,truncate(keep_dim=32),0.377486,-0.384294,-0.425783,-0.341370,0.000200,1,128,663424,0.0,0.0,0.000876,0.000876
gte-base,scifact,truncate(keep_dim=64),0.586210,-0.175569,-0.210243,-0.139978,0.000200,1,256,1326848,0.0,0.0,0.000790,0.000790
gte-base,scifact,truncate(keep_dim=128),0.665279,-0.096501,-0.123508,-0.070756,0.000200,1,512,2653696,0.0,0.0,0.000776,0.000776
gte-base,scifact,truncate(keep_dim=256),0.705330,-0.056450,-0.076727,-0.036682,0.000200,1,1024,5307392,0.0,0.0,0.000779,0.000779
gte-base,scifact,truncate(keep_dim=512),0.739254,-0.022526,-0.034460,-0.011293,0.000200,1,2048,10614784,0.0,0.0,0.000974,0.000974
gte-base,scifact,scalar_int8,0.761724,-0.000056,-0.000160,0.000000,0.501900,0,768,3980544,0.0,0.0,0.001321,0.001321
gte-base,scifact,binary,0.681071,-0.080709,-0.107018,-0.056346,0.000200,1,96,497568,0.0,0.0,0.000875,0.000875
gte-base,scifact,"product_quantize(n_subspaces=4,n_bits=4)",0.038458,-0.723322,-0.762231,-0.681840,0.000200,1,2,10366,0.0,0.0,0.074580,0.074580
gte-base,scifact,"product_quantize(n_subspaces=4,n_bits=6)",0.141177,-0.620603,-0.666451,-0.570795,0.000200,1,3,15549,0.0,0.0,0.073651,0.073651
gte-base,scifact,"product_quantize(n_subspaces=4,n_bits=8)",0.342707,-0.419073,-0.462853,-0.374119,0.000200,1,4,20732,0.0,0.0,0.076799,0.076799
gte-base,scifact,"product_quantize(n_subspaces=8,n_bits=4)",0.089253,-0.672527,-0.714112,-0.630150,0.000200,1,4,20732,0.0,0.0,0.144393,0.144393
gte-base,scifact,"product_quantize(n_subspaces=8,n_bits=6)",0.211316,-0.550464,-0.595938,-0.504224,0.000200,1,6,31098,0.0,0.0,0.143545,0.143545
gte-base,scifact,"product_quantize(n_subspaces=8,n_bits=8)",0.357633,-0.404147,-0.449163,-0.359822,0.000200,1,8,41464,0.0,0.0,0.143515,0.143515
gte-base,scifact,"product_quantize(n_subspaces=16,n_bits=4)",0.206466,-0.555314,-0.599496,-0.507932,0.000200,1,8,41464,0.0,0.0,0.282175,0.282175
gte-base,scifact,"product_quantize(n_subspaces=16,n_bits=6)",0.354571,-0.407209,-0.451431,-0.361960,0.000200,1,12,62196,0.0,0.0,0.284735,0.284735
gte-base,scifact,"product_quantize(n_subspaces=16,n_bits=8)",0.514699,-0.247081,-0.285707,-0.210198,0.000200,1,16,82928,0.0,0.0,0.288974,0.288974
gte-base,scifact,"product_quantize(n_subspaces=32,n_bits=4)",0.387236,-0.374544,-0.418971,-0.329689,0.000200,1,16,82928,0.0,0.0,0.561791,0.561791
gte-base,scifact,"product_quantize(n_subspaces=32,n_bits=6)",0.544249,-0.217531,-0.256107,-0.181236,0.000200,1,24,124392,0.0,0.0,0.563190,0.563190
gte-base,scifact,"product_quantize(n_subspaces=32,n_bits=8)",0.612397,-0.149383,-0.182942,-0.117743,0.000200,1,32,165856,0.0,0.0,0.565625,0.565625
gte-base,scifact,"product_quantize(n_subspaces=64,n_bits=4)",0.593976,-0.167804,-0.202760,-0.133828,0.000200,1,32,165856,0.0,0.0,1.134087,1.134087
gte-base,scifact,"product_quantize(n_subspaces=64,n_bits=6)",0.675991,-0.085789,-0.112601,-0.060057,0.000200,1,48,248784,0.0,0.0,1.124930,1.124930
gte-base,scifact,"product_quantize(n_subspaces=64,n_bits=8)",0.687207,-0.074573,-0.098775,-0.052112,0.000200,1,64,331712,0.0,0.0,1.129741,1.129741
gte-base,scifact,"opq(n_subspaces=4,n_bits=4)",0.172571,-0.589209,-0.632295,-0.544454,0.000200,1,2,10366,0.0,0.0,1.505848,1.505848
gte-base,scifact,"opq(n_subspaces=4,n_bits=8)",0.455004,-0.306776,-0.349637,-0.265705,0.000200,1,4,20732,0.0,0.0,1.152410,1.152410
gte-base,scifact,"opq(n_subspaces=8,n_bits=4)",0.333187,-0.428593,-0.476216,-0.381666,0.000200,1,4,20732,0.0,0.0,2.243406,2.243406
gte-base,scifact,"opq(n_subspaces=8,n_bits=8)",0.553936,-0.207844,-0.246376,-0.169641,0.000200,1,8,41464,0.0,0.0,1.540929,1.540929
gte-base,scifact,"opq(n_subspaces=16,n_bits=4)",0.480642,-0.281138,-0.323393,-0.239122,0.000200,1,8,41464,0.0,0.0,2.867710,2.867710
gte-base,scifact,"opq(n_subspaces=16,n_bits=8)",0.625762,-0.136018,-0.169087,-0.104603,0.000200,1,16,82928,0.0,0.0,2.391848,2.391848
gte-base,scifact,"opq(n_subspaces=32,n_bits=4)",0.602449,-0.159331,-0.190862,-0.129249,0.000200,1,16,82928,0.0,0.0,4.455740,4.455740
gte-base,scifact,"opq(n_subspaces=32,n_bits=8)",0.664365,-0.097415,-0.122865,-0.073094,0.000200,1,32,165856,0.0,0.0,4.068837,4.068837
gte-base,scifact,"opq(n_subspaces=64,n_bits=4)",0.677048,-0.084732,-0.112666,-0.057229,0.000200,1,32,165856,0.0,0.0,7.566053,7.566053
gte-base,scifact,"opq(n_subspaces=64,n_bits=8)",0.719579,-0.042201,-0.058263,-0.026786,0.000200,1,64,331712,0.0,0.0,7.436641,7.436641
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=4))",0.035772,-0.726008,-0.766419,-0.683429,0.000200,1,2,10366,0.0,0.0,0.073993,0.073993
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=6))",0.138616,-0.623164,-0.666330,-0.578315,0.000200,1,3,15549,0.0,0.0,0.072745,0.072745
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=8))",0.168038,-0.593742,-0.637364,-0.548336,0.000200,1,4,20732,0.0,0.0,0.072772,0.072772
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=4))",0.113850,-0.647930,-0.690702,-0.603198,0.000200,1,4,20732,0.0,0.0,0.145159,0.145159
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=6))",0.183910,-0.577870,-0.620709,-0.533744,0.000200,1,6,31098,0.0,0.0,0.142803,0.142803
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=8))",0.329179,-0.432601,-0.477174,-0.390378,0.000200,1,8,41464,0.0,0.0,0.143057,0.143057
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=4))",0.222023,-0.539757,-0.584155,-0.495520,0.000200,1,8,41464,0.0,0.0,0.287760,0.287760
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=6))",0.379383,-0.382397,-0.423454,-0.341310,0.000200,1,12,62196,0.0,0.0,0.287867,0.287867
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=8))",0.484998,-0.276782,-0.317374,-0.237611,0.000200,1,16,82928,0.0,0.0,0.289091,0.289091
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=4))",0.451941,-0.309839,-0.350042,-0.270342,0.000200,1,16,82928,0.0,0.0,0.573846,0.573846
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=6))",0.541594,-0.220186,-0.256324,-0.185011,0.000200,1,24,124392,0.0,0.0,0.572511,0.572511
gte-base,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=8))",0.578485,-0.183295,-0.219811,-0.147430,0.000200,1,32,165856,0.0,0.0,0.566492,0.566492
gte-base,scifact,composed(truncate(keep_dim=64)+binary),0.182763,-0.579017,-0.623421,-0.533342,0.000200,1,8,41464,0.0,0.0,0.000928,0.000928
gte-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=4))",0.051282,-0.710498,-0.749802,-0.668110,0.000200,1,2,10366,0.0,0.0,0.072790,0.072790
gte-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=6))",0.121398,-0.640382,-0.680727,-0.597861,0.000200,1,3,15549,0.0,0.0,0.072954,0.072954
gte-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=8))",0.244387,-0.517393,-0.564447,-0.468839,0.000200,1,4,20732,0.0,0.0,0.073157,0.073157
gte-base,scifact,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",0.135048,-0.626732,-0.669312,-0.581900,0.000200,1,4,20732,0.0,0.0,0.145581,0.145581
