spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.038458,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.042838,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.046734,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.063311,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.054762,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.139825,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.151916,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.149198,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.160748,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.149463,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.342707,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.313070,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.310223,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.321521,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.294919,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.090293,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.084609,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.087238,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.108780,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.116213,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.211316,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.246486,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.238387,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.233648,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.238514,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.357633,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.401223,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.365224,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.390377,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.407242,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.207223,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.238317,0.0,0.0,0.0
