spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.049221,0.009900,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.150230,0.007473,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.316488,0.017528,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.097426,0.014149,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.233670,0.013320,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.384340,0.021936,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.209986,0.018987,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.355984,0.011674,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.490767,0.018358,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.386629,0.008910,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.534884,0.013204,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.599959,0.007873,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.583936,0.010653,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.658407,0.018234,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.694083,0.012365,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.182738,0.015062,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.459265,0.010092,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.331623,0.009874,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.543829,0.028861,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.507106,0.016022,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.622074,0.006242,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.594365,0.018494,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.674167,0.014653,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.673142,0.013223,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.713486,0.012305,0,0,0,0,0,0
