backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
mxbai-large,arguana,identity,0.4688419734661386,0.0,0.0,0.0,1.0,False,4096,35528704,0.0,0.00392,2.99965,3.0030105000000002
mxbai-large,arguana,truncate(keep_dim=32),0.2488866283200241,-0.21995534514611453,-0.23269317698933387,-0.20700820987419113,0.0001999600079984003,True,128,1110272,0.0,0.6879,0.033135,0.0356175
mxbai-large,arguana,truncate(keep_dim=64),0.36218796756701116,-0.10665400589912744,-0.11716061703572422,-0.09653293089801107,0.0001999600079984003,True,256,2220544,0.0,0.70484,2.99988,3.0015995
mxbai-large,arguana,truncate(keep_dim=128),0.42030346740787267,-0.048538506058266,-0.056215626456839585,-0.040895681256623066,0.0001999600079984003,True,512,4441088,0.0,1.62531,0.01694,0.022634500000000002
mxbai-large,arguana,truncate(keep_dim=256),0.4473472327752342,-0.021494740690904436,-0.027159279593242564,-0.01565557240796865,0.0001999600079984003,True,1024,8882176,0.0,3.13349,0.01894,0.019544
mxbai-large,arguana,truncate(keep_dim=512),0.46697074482534895,-0.0018712286407897405,-0.00579095930163592,0.0020803005533373805,0.3421315736852629,False,2048,17764352,0.0,14.635039,0.0235,5.999684
mxbai-large,arguana,scalar_int8,0.4686195251795909,-0.0002224482865477481,-0.0008501362719606811,0.00026620597425583404,0.4999000199960008,False,1024,8882176,3.86935,21.80282,24.589924500000002,26.99267605
mxbai-large,arguana,binary,0.43762211929892464,-0.031219854167214043,-0.037535829801703356,-0.02496205263032115,0.0001999600079984003,True,128,1110272,0.0,2.14574,1.905725,1.91994
mxbai-large,arguana,"product_quantize(n_subspaces=4,n_bits=4)",0.0856976031337988,-0.38314437033233983,-0.3973120921892617,-0.36924443456288164,0.0001999600079984003,True,4,34696,2720.859874,101.095738,0.059435,0.06250700000000001
mxbai-large,arguana,"product_quantize(n_subspaces=4,n_bits=6)",0.17507787391541885,-0.2937640995507198,-0.309789903301454,-0.277639619293735,0.0001999600079984003,True,4,34696,10228.149305,391.041655,0.07662,0.08362549999999999
mxbai-large,arguana,"product_quantize(n_subspaces=4,n_bits=8)",0.2654272373106096,-0.20341473615552907,-0.21945228555700874,-0.18681630932083906,0.0001999600079984003,True,4,34696,40064.14078,1546.71462,0.142225,0.149643
mxbai-large,arguana,"product_quantize(n_subspaces=8,n_bits=4)",0.13163808785484926,-0.33720388561128933,-0.3525237508898455,-0.3222605244175784,0.0001999600079984003,True,8,69392,3108.306309,117.452308,0.10860500000000001,0.117779
mxbai-large,arguana,"product_quantize(n_subspaces=8,n_bits=6)",0.23519173623292763,-0.23365023723321096,-0.24959017641623693,-0.21737955206743162,0.0001999600079984003,True,8,69392,11854.182414,458.685784,0.12763,0.13410450000000002
mxbai-large,arguana,"product_quantize(n_subspaces=8,n_bits=8)",0.2989611625154338,-0.16988081095070487,-0.1857237809822316,-0.15378089870415415,0.0001999600079984003,True,8,69392,43762.680039,1755.90085,0.20411,0.21090699999999998
mxbai-large,arguana,"product_quantize(n_subspaces=16,n_bits=4)",0.1969048911369632,-0.2719370823291754,-0.2859368641172501,-0.25779990146509096,0.0001999600079984003,True,16,138784,3820.842444,138.326257,0.20477,0.21146150000000002
mxbai-large,arguana,"product_quantize(n_subspaces=16,n_bits=6)",0.27663920722008783,-0.1922027662460508,-0.20597423627602485,-0.17789754192975624,0.0001999600079984003,True,16,138784,14320.93068,529.290181,0.233365,0.24138300000000001
mxbai-large,arguana,"product_quantize(n_subspaces=16,n_bits=8)",0.334872069317201,-0.13396990414893764,-0.14778700521472832,-0.12002385801406086,0.0001999600079984003,True,16,138784,54430.006499,2057.249714,0.332665,0.3385385
mxbai-large,arguana,"product_quantize(n_subspaces=32,n_bits=4)",0.31777422397425875,-0.15106774949187984,-0.16331718211902668,-0.13898916839850667,0.0001999600079984003,True,32,277568,4220.701686,143.701248,0.41139000000000003,0.41540350000000004
mxbai-large,arguana,"product_quantize(n_subspaces=32,n_bits=6)",0.35912409368861914,-0.1097178797775195,-0.12099009731305474,-0.09890282802799437,0.0001999600079984003,True,32,277568,18900.45406,675.972928,0.44837,0.4570205
