spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.068643,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.065230,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.063343,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.071386,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.070633,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.156980,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.160215,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.178919,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.166733,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.164004,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.271245,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.281652,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.271249,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.266835,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.278847,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.111820,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.102406,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.100595,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.108997,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.103023,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.198349,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.217702,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.201413,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.222576,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.208851,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.300704,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.310072,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.307781,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.316228,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.308431,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.170578,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.180598,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.175245,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.173756,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.168094,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.266319,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",1,0.269265,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",2,0.263187,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",3,0.269204,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",4,0.268729,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",0,0.340661,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",1,0.334822,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",2,0.350028,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",3,0.338689,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",4,0.339244,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",0,0.271021,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",1,0.263050,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",2,0.259982,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",3,0.261156,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",4,0.268902,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",0,0.340207,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",1,0.329938,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",2,0.339496,0.0,0.0,0.0
