spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.067847,0.003466,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.165370,0.008430,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.273966,0.006094,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.105368,0.004792,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.209778,0.010344,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.308643,0.005554,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.173654,0.004773,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.267341,0.002617,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.340689,0.005651,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.264822,0.004876,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.338270,0.005304,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.375454,0.002296,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.350873,0.002838,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.395869,0.002675,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.420404,0.001123,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.162401,0.008570,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.316756,0.006786,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.249836,0.013196,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.373338,0.005956,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.339971,0.005312,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.401520,0.005181,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.379560,0.004858,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.424653,0.002084,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.417103,0.004739,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.443158,0.001384,0,0,0,0,0,0
