backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
mxbai-large,fiqa,identity,0.452935,0.000000,0.000000,0.000000,1.000000,0,4096,236085248,0.0,0.0,0.003468,0.003468
mxbai-large,fiqa,float16,0.452738,-0.000196,-0.001246,0.000477,0.990202,0,2048,118042624,0.0,0.0,0.004090,0.004090
mxbai-large,fiqa,truncate(keep_dim=32),0.122443,-0.330491,-0.356520,-0.305302,0.000200,1,128,7377664,0.0,0.0,0.001581,0.001581
mxbai-large,fiqa,truncate(keep_dim=64),0.249940,-0.202995,-0.223107,-0.183340,0.000200,1,256,14755328,0.0,0.0,0.001629,0.001629
mxbai-large,fiqa,truncate(keep_dim=128),0.350639,-0.102296,-0.119476,-0.085059,0.000200,1,512,29510656,0.0,0.0,0.001766,0.001766
mxbai-large,fiqa,truncate(keep_dim=256),0.403966,-0.048969,-0.062105,-0.035715,0.000200,1,1024,59021312,0.0,0.0,0.002094,0.002094
mxbai-large,fiqa,truncate(keep_dim=512),0.434947,-0.017987,-0.026276,-0.009810,0.000400,1,2048,118042624,0.0,0.0,0.002868,0.002868
mxbai-large,fiqa,scalar_int8,0.453471,0.000536,0.000014,0.001096,0.059388,0,1024,59021312,0.0,0.0,0.008063,0.008063
mxbai-large,fiqa,binary,0.405033,-0.047901,-0.061840,-0.034536,0.000200,1,128,7377664,0.0,0.0,0.003903,0.003903
mxbai-large,fiqa,"product_quantize(n_subspaces=4,n_bits=4)",0.004721,-0.448214,-0.476364,-0.420113,0.000200,1,2,115276,0.0,0.0,0.088604,0.088604
mxbai-large,fiqa,"product_quantize(n_subspaces=4,n_bits=6)",0.019813,-0.433122,-0.460975,-0.404637,0.000200,1,3,172914,0.0,0.0,0.090775,0.090775
mxbai-large,fiqa,"product_quantize(n_subspaces=4,n_bits=8)",0.047365,-0.405570,-0.434007,-0.377467,0.000200,1,4,230552,0.0,0.0,0.108528,0.108528
mxbai-large,fiqa,"product_quantize(n_subspaces=8,n_bits=4)",0.014994,-0.437941,-0.465342,-0.410059,0.000200,1,4,230552,0.0,0.0,0.132217,0.132217
mxbai-large,fiqa,"product_quantize(n_subspaces=8,n_bits=6)",0.040677,-0.412258,-0.440740,-0.383583,0.000200,1,6,345828,0.0,0.0,0.128824,0.128824
mxbai-large,fiqa,"product_quantize(n_subspaces=8,n_bits=8)",0.078592,-0.374343,-0.402543,-0.347087,0.000200,1,8,461104,0.0,0.0,0.154047,0.154047
mxbai-large,fiqa,"product_quantize(n_subspaces=16,n_bits=4)",0.027370,-0.425565,-0.453458,-0.397500,0.000200,1,8,461104,0.0,0.0,0.210370,0.210370
mxbai-large,fiqa,"product_quantize(n_subspaces=16,n_bits=6)",0.082935,-0.369999,-0.397765,-0.341869,0.000200,1,12,691656,0.0,0.0,0.213377,0.213377
mxbai-large,fiqa,"product_quantize(n_subspaces=16,n_bits=8)",0.123725,-0.329210,-0.355351,-0.302630,0.000200,1,16,922208,0.0,0.0,0.246595,0.246595
mxbai-large,fiqa,"product_quantize(n_subspaces=32,n_bits=4)",0.098637,-0.354298,-0.380956,-0.328394,0.000200,1,16,922208,0.0,0.0,0.380253,0.380253
mxbai-large,fiqa,"product_quantize(n_subspaces=32,n_bits=6)",0.159624,-0.293311,-0.318827,-0.267424,0.000200,1,24,1383312,0.0,0.0,0.382287,0.382287
mxbai-large,fiqa,"product_quantize(n_subspaces=32,n_bits=8)",0.224777,-0.228158,-0.252083,-0.204406,0.000200,1,32,1844416,0.0,0.0,0.438707,0.438707
mxbai-large,fiqa,"product_quantize(n_subspaces=64,n_bits=4)",0.208120,-0.244815,-0.268615,-0.221221,0.000200,1,32,1844416,0.0,0.0,0.703516,0.703516
mxbai-large,fiqa,"product_quantize(n_subspaces=64,n_bits=6)",0.278206,-0.174729,-0.195996,-0.154199,0.000200,1,48,2766624,0.0,0.0,0.720714,0.720714
mxbai-large,fiqa,"product_quantize(n_subspaces=64,n_bits=8)",0.334545,-0.118390,-0.134787,-0.102118,0.000200,1,64,3688832,0.0,0.0,0.800694,0.800694
mxbai-large,fiqa,"opq(n_subspaces=4,n_bits=4)",0.031170,-0.421765,-0.449583,-0.393779,0.000200,1,2,115276,0.0,0.0,1.467535,1.467535
mxbai-large,fiqa,"opq(n_subspaces=4,n_bits=8)",0.116282,-0.336653,-0.365495,-0.307886,0.000200,1,4,230552,0.0,0.0,1.435258,1.435258
mxbai-large,fiqa,"opq(n_subspaces=8,n_bits=4)",0.058036,-0.394899,-0.422814,-0.367812,0.000200,1,4,230552,0.0,0.0,1.813834,1.813834
mxbai-large,fiqa,"opq(n_subspaces=8,n_bits=8)",0.180036,-0.272899,-0.297678,-0.248806,0.000200,1,8,461104,0.0,0.0,1.510448,1.510448
mxbai-large,fiqa,"opq(n_subspaces=16,n_bits=4)",0.146932,-0.306003,-0.331587,-0.280998,0.000200,1,8,461104,0.0,0.0,2.305468,2.305468
mxbai-large,fiqa,"opq(n_subspaces=16,n_bits=8)",0.254529,-0.198406,-0.220876,-0.176613,0.000200,1,16,922208,0.0,0.0,2.061170,2.061170
mxbai-large,fiqa,"opq(n_subspaces=32,n_bits=4)",0.262592,-0.190342,-0.212188,-0.168982,0.000200,1,16,922208,0.0,0.0,3.241494,3.241494
