spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.004721,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.009600,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.006911,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.006874,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.004035,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.020445,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.024334,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.026477,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.026640,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.027060,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.046978,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.057595,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.042439,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.050970,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.050700,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.014994,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.011364,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.016056,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.012074,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.010254,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.040167,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.037949,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.040315,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.042677,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.040616,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.074328,0.0,0.0,0.0
