spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.006428,0.002187,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.024991,0.002753,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.049736,0.005592,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.012949,0.002468,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.040345,0.001680,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.078451,0.005534,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.034809,0.006413,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.079602,0.004629,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.120576,0.006380,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.092766,0.006076,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.155812,0.007680,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.219363,0.006074,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.208670,0.009490,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.278649,0.003888,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.338624,0.003648,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.027292,0.004993,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.113880,0.007381,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.073028,0.004514,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.173124,0.003517,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.146977,0.003040,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.258699,0.004410,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.257084,0.009767,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.352486,0.004307,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.353497,0.004032,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.412193,0.003950,0,0,0,0,0,0
