backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
mxbai-large,nfcorpus,identity,0.387950,0.000000,0.000000,0.000000,1.000000,0,4096,14880768,0.0,0.0,0.000640,0.000640
mxbai-large,nfcorpus,float16,0.388001,0.000051,-0.000044,0.000176,0.478904,0,2048,7440384,0.0,0.0,0.000672,0.000672
mxbai-large,nfcorpus,truncate(keep_dim=32),0.168310,-0.219641,-0.247025,-0.192640,0.000200,1,128,465024,0.0,0.0,0.000951,0.000951
mxbai-large,nfcorpus,truncate(keep_dim=64),0.258359,-0.129591,-0.151704,-0.108829,0.000200,1,256,930048,0.0,0.0,0.000846,0.000846
mxbai-large,nfcorpus,truncate(keep_dim=128),0.322038,-0.065912,-0.082948,-0.051123,0.000200,1,512,1860096,0.0,0.0,0.000828,0.000828
mxbai-large,nfcorpus,truncate(keep_dim=256),0.364479,-0.023472,-0.035284,-0.012267,0.000200,1,1024,3720192,0.0,0.0,0.000828,0.000828
mxbai-large,nfcorpus,truncate(keep_dim=512),0.383530,-0.004420,-0.011924,0.003180,0.258948,0,2048,7440384,0.0,0.0,0.000892,0.000892
mxbai-large,nfcorpus,scalar_int8,0.387691,-0.000259,-0.000945,0.000184,0.522695,0,1024,3720192,0.0,0.0,0.001231,0.001231
mxbai-large,nfcorpus,binary,0.356607,-0.031344,-0.043146,-0.020201,0.000200,1,128,465024,0.0,0.0,0.000775,0.000775
mxbai-large,nfcorpus,"product_quantize(n_subspaces=4,n_bits=4)",0.050165,-0.337785,-0.373209,-0.302275,0.000200,1,2,7266,0.0,0.0,0.069381,0.069381
mxbai-large,nfcorpus,"product_quantize(n_subspaces=4,n_bits=6)",0.150231,-0.237720,-0.271237,-0.204852,0.000200,1,3,10899,0.0,0.0,0.068497,0.068497
mxbai-large,nfcorpus,"product_quantize(n_subspaces=4,n_bits=8)",0.250364,-0.137586,-0.168147,-0.106461,0.000200,1,4,14532,0.0,0.0,0.073188,0.073188
mxbai-large,nfcorpus,"product_quantize(n_subspaces=8,n_bits=4)",0.093468,-0.294482,-0.328314,-0.260641,0.000200,1,4,14532,0.0,0.0,0.132587,0.132587
mxbai-large,nfcorpus,"product_quantize(n_subspaces=8,n_bits=6)",0.194029,-0.193921,-0.225005,-0.163666,0.000200,1,6,21798,0.0,0.0,0.132849,0.132849
mxbai-large,nfcorpus,"product_quantize(n_subspaces=8,n_bits=8)",0.273487,-0.114463,-0.144545,-0.085195,0.000200,1,8,29064,0.0,0.0,0.134068,0.134068
mxbai-large,nfcorpus,"product_quantize(n_subspaces=16,n_bits=4)",0.130782,-0.257168,-0.288925,-0.224917,0.000200,1,8,29064,0.0,0.0,0.263067,0.263067
mxbai-large,nfcorpus,"product_quantize(n_subspaces=16,n_bits=6)",0.214024,-0.173926,-0.203487,-0.144697,0.000200,1,12,43596,0.0,0.0,0.266432,0.266432
mxbai-large,nfcorpus,"product_quantize(n_subspaces=16,n_bits=8)",0.290181,-0.097769,-0.124451,-0.071897,0.000200,1,16,58128,0.0,0.0,0.264278,0.264278
mxbai-large,nfcorpus,"product_quantize(n_subspaces=32,n_bits=4)",0.210957,-0.176993,-0.203003,-0.151779,0.000200,1,16,58128,0.0,0.0,0.529528,0.529528
mxbai-large,nfcorpus,"product_quantize(n_subspaces=32,n_bits=6)",0.281552,-0.106398,-0.131444,-0.082389,0.000200,1,24,87192,0.0,0.0,0.523596,0.523596
mxbai-large,nfcorpus,"product_quantize(n_subspaces=32,n_bits=8)",0.335973,-0.051978,-0.073960,-0.029677,0.000200,1,32,116256,0.0,0.0,0.523094,0.523094
mxbai-large,nfcorpus,"product_quantize(n_subspaces=64,n_bits=4)",0.296887,-0.091063,-0.110480,-0.072360,0.000200,1,32,116256,0.0,0.0,1.055456,1.055456
mxbai-large,nfcorpus,"product_quantize(n_subspaces=64,n_bits=6)",0.336155,-0.051796,-0.067537,-0.036349,0.000200,1,48,174384,0.0,0.0,1.041281,1.041281
mxbai-large,nfcorpus,"product_quantize(n_subspaces=64,n_bits=8)",0.364465,-0.023486,-0.036809,-0.011465,0.000400,1,64,232512,0.0,0.0,1.043139,1.043139
mxbai-large,nfcorpus,"opq(n_subspaces=4,n_bits=4)",0.153517,-0.234433,-0.267040,-0.202061,0.000200,1,2,7266,0.0,0.0,2.153704,2.153704
mxbai-large,nfcorpus,"opq(n_subspaces=4,n_bits=8)",0.308313,-0.079637,-0.105574,-0.054393,0.000200,1,4,14532,0.0,0.0,1.743549,1.743549
mxbai-large,nfcorpus,"opq(n_subspaces=8,n_bits=4)",0.202348,-0.185603,-0.214241,-0.157164,0.000200,1,4,14532,0.0,0.0,2.869474,2.869474
mxbai-large,nfcorpus,"opq(n_subspaces=8,n_bits=8)",0.320476,-0.067474,-0.090044,-0.046414,0.000200,1,8,29064,0.0,0.0,1.872053,1.872053
mxbai-large,nfcorpus,"opq(n_subspaces=16,n_bits=4)",0.279420,-0.108530,-0.132814,-0.085102,0.000200,1,8,29064,0.0,0.0,3.731690,3.731690
