spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.050165,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.062244,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.035439,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.058310,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.061999,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.150231,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.138303,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.156073,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.138869,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.162467,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.250364,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.253960,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.252925,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.251084,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.263534,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.093468,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.094001,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.089407,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.090294,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.078596,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.194029,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.182597,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.191131,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.184909,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.187559,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.273487,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.267030,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.267640,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.270969,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.276440,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",0,0.130986,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",1,0.128310,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",2,0.133674,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",3,0.133341,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=4)",4,0.135713,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",0,0.213214,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",1,0.232084,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",2,0.229704,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",3,0.217986,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=6)",4,0.216036,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",0,0.290181,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",1,0.292010,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",2,0.285969,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",3,0.293956,0.0,0.0,0.0
"product_quantize(n_subspaces=16,n_bits=8)",4,0.302781,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",0,0.209618,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",1,0.215725,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",2,0.199424,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",3,0.206600,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=4)",4,0.202289,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",0,0.281552,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",1,0.283685,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",2,0.280481,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",3,0.284092,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=6)",4,0.295644,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",0,0.335973,0.0,0.0,0.0
"product_quantize(n_subspaces=32,n_bits=8)",1,0.334662,0.0,0.0,0.0
