backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
mxbai-large,scifact,identity,0.7385996119051191,0.0,0.0,0.0,1.0,False,4096,21229568,0.0,0.00311,2.99958,3.00164505
mxbai-large,scifact,truncate(keep_dim=32),0.4281336419219942,-0.3104659699831248,-0.35089544104301373,-0.2695274230324846,0.0001999600079984003,True,128,663424,0.0,0.44356,0.02107,0.021368
mxbai-large,scifact,truncate(keep_dim=64),0.598236064483575,-0.14036354742154414,-0.17340269784920687,-0.10887958992563099,0.0001999600079984003,True,256,1326848,0.0,0.4986,0.027665,0.028801000000000004
mxbai-large,scifact,truncate(keep_dim=128),0.671402812850358,-0.06719679905476118,-0.09171027601139205,-0.04328564149977604,0.0001999600079984003,True,512,2653696,0.0,0.99997,0.01604,0.020418500000000003
mxbai-large,scifact,truncate(keep_dim=256),0.6929807177308871,-0.04561889417423197,-0.06676483316828177,-0.024869438704823835,0.0001999600079984003,True,1024,5307392,0.0,2.04964,0.016015,0.017332499999999997
mxbai-large,scifact,truncate(keep_dim=512),0.7277032711615689,-0.01089634074355018,-0.023420180685258814,0.0017650538409285043,0.09738052389522095,False,2048,10614784,0.0,3.86329,0.01883,0.0197235
mxbai-large,scifact,scalar_int8,0.7390952776111961,0.0004956657060770544,0.0001429560034502926,0.0009367593369269544,0.016596680663867228,True,1024,5307392,2.65639,12.96084,11.46003,11.869407
mxbai-large,scifact,binary,0.7046586873383986,-0.03394092456672044,-0.055080372828565045,-0.013782375438246185,0.0015996800639872025,True,128,663424,0.0,1.30073,1.15594,1.1746575
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=4)",0.052657035969518234,-0.6859425759356008,-0.728782015041422,-0.6410586692120668,0.0001999600079984003,True,4,20732,1653.88818,59.17788,0.044414999999999996,0.046679500000000006
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=6)",0.2026630262817778,-0.5359365856233412,-0.5832388613685336,-0.48707135734904006,0.0001999600079984003,True,4,20732,6175.940372,232.809169,0.06085,0.063433
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=8)",0.35584613462256715,-0.38275347728255193,-0.4282687068852386,-0.33685607936738504,0.0001999600079984003,True,4,20732,19940.746889,910.136415,0.128955,0.1367085
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=4)",0.15751998548095106,-0.581079626424168,-0.6267986622516527,-0.5342520834504667,0.0001999600079984003,True,8,41464,1663.25986,57.655189,0.07633999999999999,0.0779045
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=6)",0.2964271131896921,-0.442172498715427,-0.4883355271931878,-0.3959383867038146,0.0001999600079984003,True,8,41464,7177.227517,265.829438,0.09643499999999999,0.1035795
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=8)",0.44650068290876066,-0.2920989289963584,-0.3355500564189618,-0.25039194619981725,0.0001999600079984003,True,8,41464,21082.244242,1033.926024,0.17348999999999998,0.1817155
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=4)",0.2774358103339888,-0.46116380157113024,-0.5046696011274564,-0.4170406302226472,0.0001999600079984003,True,16,82928,1802.784749,61.24157,0.141745,0.146359
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=6)",0.42222136833259755,-0.3163782435725216,-0.3561963462923407,-0.2752754290024998,0.0001999600079984003,True,16,82928,8557.762688,309.654048,0.16884,0.17532250000000002
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=8)",0.5254882961154446,-0.2131113157896745,-0.24951666280844612,-0.17540690229647876,0.0001999600079984003,True,16,82928,25651.174775,1222.346893,0.26915,0.2778835
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=4)",0.43774414396256467,-0.30085546794255436,-0.3419122401340459,-0.259226235175643,0.0001999600079984003,True,32,165856,2423.003696,82.692449,0.280325,0.285361
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=6)",0.554561944769297,-0.184037667135822,-0.21809602558472668,-0.1516576233585015,0.0001999600079984003,True,32,165856,10343.544577,359.845158,0.31814,0.3264165
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=8)",0.6631409716741352,-0.07545864023098393,-0.10390001528901176,-0.0473982183917965,0.0001999600079984003,True,32,165856,35507.628376,1543.73518,0.46209999999999996,0.468827
mxbai-large,scifact,"product_quantize(n_subspaces=64,n_bits=4)",0.617517969069734,-0.12108164283538511,-0.15065625446150058,-0.0931409348188074,0.0001999600079984003,True,64,331712,4342.733644,142.604469,0.565585,0.5767319999999999
mxbai-large,scifact,"product_quantize(n_subspaces=64,n_bits=6)",0.6603758396701201,-0.07822377223499893,-0.10080346381691858,-0.05678843976289522,0.0001999600079984003,True,64,331712,15666.041686,534.565047,0.6188145,0.6236749500000001
mxbai-large,scifact,"product_quantize(n_subspaces=64,n_bits=8)",0.7026559479145055,-0.0359436639906136,-0.05445098977263599,-0.017617845995458715,0.0001999600079984003,True,64,331712,60302.349866,2408.022235,0.882285,0.8883275
mxbai-large,scifact,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=4))",0.1032206103811853,-0.6353790015239338,-0.678844349165042,-0.5900080394661489,0.0001999600079984003,True,4,20732,274.689978,8.79659,0.04513,0.046737
