backbone,dataset,spec,index_backend,index_status,index_build_ms,index_bytes,index_query_latency_ms,index_query_p95_ms,index_recall_at_10,index_ndcg_at_10,index_exact_recall_at_10,index_error
mxbai-large,scifact,identity,exact-numpy,ok,0.00198,21229568,23.033879499999998,42.153828999999966,0.8715555555555556,0.7385996119051191,1.0,
mxbai-large,scifact,identity,faiss-flat,missing_backend,,,,,,,,
mxbai-large,scifact,identity,faiss-ivf,missing_backend,,,,,,,,
mxbai-large,scifact,identity,faiss-ivfpq,missing_backend,,,,,,,,
mxbai-large,scifact,identity,faiss-hnsw,missing_backend,,,,,,,,
mxbai-large,scifact,identity,faiss-opq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=32),exact-numpy,ok,0.00148,663424,16.66055,18.304977499999996,0.5710555555555555,0.4281336419219942,0.2247069431920649,
mxbai-large,scifact,truncate(keep_dim=32),faiss-flat,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=32),faiss-ivf,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=32),faiss-ivfpq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=32),faiss-hnsw,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=32),faiss-opq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=64),exact-numpy,ok,0.0015,1326848,15.793125,15.8053805,0.7034444444444444,0.598236064483575,0.36916140667267805,
mxbai-large,scifact,truncate(keep_dim=64),faiss-flat,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=64),faiss-ivf,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=64),faiss-ivfpq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=64),faiss-hnsw,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=64),faiss-opq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=128),exact-numpy,ok,0.0012,2653696,17.260885000000002,18.580028,0.7997777777777778,0.671402812850358,0.5194770063119927,
mxbai-large,scifact,truncate(keep_dim=128),faiss-flat,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=128),faiss-ivf,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=128),faiss-ivfpq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=128),faiss-hnsw,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=128),faiss-opq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=256),exact-numpy,ok,0.00152,5307392,17.893704999999997,35.31841304999997,0.8275555555555555,0.6929807177308871,0.6622182146077548,
mxbai-large,scifact,truncate(keep_dim=256),faiss-flat,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=256),faiss-ivf,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=256),faiss-ivfpq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=256),faiss-hnsw,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=256),faiss-opq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=512),exact-numpy,ok,0.00155,10614784,19.296995000000003,19.3327425,0.8715555555555556,0.7277032711615689,0.7930568079350766,
mxbai-large,scifact,truncate(keep_dim=512),faiss-flat,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=512),faiss-ivf,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=512),faiss-ivfpq,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=512),faiss-hnsw,missing_backend,,,,,,,,
mxbai-large,scifact,truncate(keep_dim=512),faiss-opq,missing_backend,,,,,,,,
mxbai-large,scifact,scalar_int8,exact-numpy,ok,0.00358,21229568,23.074685000000002,25.019005,0.8715555555555556,0.7390952776111961,0.9955816050495941,
mxbai-large,scifact,scalar_int8,faiss-flat,missing_backend,,,,,,,,
mxbai-large,scifact,scalar_int8,faiss-ivf,missing_backend,,,,,,,,
mxbai-large,scifact,scalar_int8,faiss-ivfpq,missing_backend,,,,,,,,
mxbai-large,scifact,scalar_int8,faiss-hnsw,missing_backend,,,,,,,,
mxbai-large,scifact,scalar_int8,faiss-opq,missing_backend,,,,,,,,
mxbai-large,scifact,binary,exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,binary,faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,binary,faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,binary,faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,binary,faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,binary,faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=4)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=4)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=6)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=6)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=8)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=4,n_bits=8)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=4)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=4)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=6)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=6)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=8)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=8)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=8)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=8)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=8)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=8,n_bits=8)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=4)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=4)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=4)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=6)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=6)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=6)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=6)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=8)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=8)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=8)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=8)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=8)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=16,n_bits=8)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=4)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=4)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=4)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=4)",faiss-ivfpq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=4)",faiss-hnsw,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=4)",faiss-opq,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=6)",exact-numpy,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=6)",faiss-flat,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=6)",faiss-ivf,not_dense,,,,,,,,
mxbai-large,scifact,"product_quantize(n_subspaces=32,n_bits=6)",faiss-ivfpq,not_dense,,,,,,,,
