spec_label,seed,ndcg_at_10,recall_at_10,mrr_at_10,map_at_10
"product_quantize(n_subspaces=4,n_bits=4)",0,0.049439,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",1,0.052971,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",2,0.055696,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",3,0.043534,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=4)",4,0.041726,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",0,0.171379,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",1,0.155497,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",2,0.150387,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",3,0.194982,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=6)",4,0.172922,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",0,0.305855,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",1,0.300936,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",2,0.287013,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",3,0.341589,0.0,0.0,0.0
"product_quantize(n_subspaces=4,n_bits=8)",4,0.297391,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",0,0.126479,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",1,0.101708,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",2,0.118020,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",3,0.132829,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=4)",4,0.123508,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",0,0.279953,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",1,0.261958,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",2,0.259679,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",3,0.241317,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=6)",4,0.260477,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",0,0.376204,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",1,0.390738,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",2,0.374414,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",3,0.405570,0.0,0.0,0.0
"product_quantize(n_subspaces=8,n_bits=8)",4,0.402352,0.0,0.0,0.0
