spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.048673,0.005980,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.169033,0.017499,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.306557,0.020769,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.120509,0.011791,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.260677,0.013685,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.389856,0.014394,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.244068,0.006304,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.384596,0.014150,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.488273,0.014320,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.386895,0.015223,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.528767,0.007244,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.610536,0.007335,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.582032,0.009334,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.646685,0.013038,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.679765,0.004223,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.201560,0.017010,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.448780,0.017138,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.351438,0.012505,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.533915,0.016868,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.519476,0.023311,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.603256,0.014699,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.619671,0.023234,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.675889,0.006816,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.683215,0.006471,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.714882,0.009348,0,0,0,0,0,0
