backbone,dataset,ndcg_identity,delta,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_tost_eps0.01,equiv_eps0.01,equiv_eps0.005
bge-base,arguana,0.4559,+0.00028,-0.00049,+0.00112,-0.00039,+0.00096,0.00e+00,1,1
bge-base,fiqa,0.4062,+0.00023,-0.00009,+0.00081,-0.00014,+0.00061,0.00e+00,1,1
bge-base,nfcorpus,0.3752,-0.00010,-0.00060,+0.00021,-0.00044,+0.00024,0.00e+00,1,1
bge-base,scifact,0.7416,-0.00146,-0.00415,+0.00000,-0.00320,+0.00028,4.44e-16,1,1
e5-base,arguana,0.3293,+0.00006,-0.00063,+0.00072,-0.00051,+0.00063,0.00e+00,1,1
e5-base,fiqa,0.3986,-0.00034,-0.00236,+0.00147,-0.00195,+0.00126,0.00e+00,1,1
e5-base,nfcorpus,0.3549,+0.00010,-0.00014,+0.00036,-0.00011,+0.00030,0.00e+00,1,1
e5-base,scifact,0.7196,+0.00036,-0.00021,+0.00112,-0.00020,+0.00091,0.00e+00,1,1
gte-base,arguana,0.4167,+0.00015,-0.00075,+0.00110,-0.00062,+0.00092,0.00e+00,1,1
gte-base,fiqa,0.4075,-0.00038,-0.00156,+0.00058,-0.00128,+0.00052,0.00e+00,1,1
gte-base,nfcorpus,0.3799,+0.00023,-0.00016,+0.00071,-0.00013,+0.00060,0.00e+00,1,1
gte-base,scifact,0.7618,-0.00023,-0.00056,+0.00000,-0.00047,+0.00000,0.00e+00,1,1
mxbai-large,arguana,0.4674,-0.00027,-0.00072,+0.00017,-0.00065,+0.00011,0.00e+00,1,1
mxbai-large,fiqa,0.4529,-0.00020,-0.00125,+0.00048,-0.00092,+0.00053,0.00e+00,1,1
mxbai-large,nfcorpus,0.3880,+0.00005,-0.00004,+0.00018,-0.00004,+0.00014,0.00e+00,1,1
mxbai-large,scifact,0.7389,+0.00007,+0.00000,+0.00021,-0.00002,+0.00016,0.00e+00,1,1
